barcode,genus_name,species,site,start_date,type,det,year,number,technique
20020122,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020123,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020124,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020125,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020126,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020127,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020128,Lasioglossum,sp. 4,Goode,3/26/02,Female,R. W. Brooks,2002,1,netting
20020129,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020130,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020131,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020132,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020133,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020134,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020135,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020136,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020137,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020138,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020139,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020140,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020141,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020142,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020143,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020144,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020145,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020146,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020147,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020148,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020149,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020150,Nomada,sp.,Goode,3/26/02,Male,R. W. Brooks,2002,4,netting
20020151,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020152,Andrena,caerulea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020153,Nomada,sp. 2,Goode,3/26/02,,R. W. Brooks,2002,1,netting
20020154,Nomada,sp. 8,Goode,3/26/02,Female,R. W. Brooks,2002,1,netting
20020155,Andrena,caerulea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020156,Nomada,sp. 6,Goode,3/26/02,Female,R. W. Brooks,2002,1,netting
20020157,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020159,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020160,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020161,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020162,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020163,Nomada,sp. 5,Goode,3/26/02,Female,R. W. Brooks,2002,1,netting
20020164,Nomada,sp. 5,Goode,3/26/02,Female,R. W. Brooks,2002,1,netting
20020165,Nomada,sp.,Goode,3/26/02,,,2002,1,netting
20020167,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020168,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020169,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020170,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020171,Andrena,pulverea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020172,Andrena,pulverea,Goode,3/26/02,Female,R.W. Brooks,2002,1,netting
20020173,Andrena,caerulea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020174,Andrena,caerulea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020175,Andrena,caerulea,Goode,3/26/02,Male,R.W. Brooks,2002,1,netting
20020230,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020230,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020232,Nomada,sp.,Saintsbury,3/26/02,Male,R. W. Brooks,2002,4,netting
20020232,Nomada,sp.,Saintsbury,3/26/02,Male,R. W. Brooks,2002,4,netting
20020240,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020240,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020241,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020241,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020243,Andrena,sp.,Saintsbury,3/26/02,Female,Ro. Thorp,2002,1,netting
20020243,Andrena,sp.,Saintsbury,3/26/02,Female,Ro. Thorp,2002,1,netting
20020244,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020244,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020245,Andrena,sp.,Saintsbury,3/26/02,Female,Ro. Thorp,2002,1,netting
20020245,Andrena,sp.,Saintsbury,3/26/02,Female,Ro. Thorp,2002,1,netting
20020246,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020246,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020248,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020248,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020250,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020250,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020252,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020252,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020254,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020254,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020258,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020258,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020259,Osmia,nemoris,Saintsbury,3/26/02,Female,R. W. Brooks,2002,1,netting
20020259,Osmia,nemoris,Saintsbury,3/26/02,Female,R. W. Brooks,2002,1,netting
20020260,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020260,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020261,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020261,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020263,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020263,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020264,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020264,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020266,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020266,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020267,Osmia,nemoris,Saintsbury,3/26/02,Female,R. W. Brooks,2002,1,netting
20020267,Osmia,nemoris,Saintsbury,3/26/02,Female,R. W. Brooks,2002,1,netting
20020268,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020268,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020269,Andrena,suavis,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020269,Andrena,suavis,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020270,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020270,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020271,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020271,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020272,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020272,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020273,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020273,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020274,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020274,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020275,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020275,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020276,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020276,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020277,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020277,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020278,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020278,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020281,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020281,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020282,Andrena,plana,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020282,Andrena,plana,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020283,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020283,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020285,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020285,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020286,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020286,Andrena,caerulea,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020287,Andrena,pulverea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020287,Andrena,pulverea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020288,Andrena,subdepressa,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020288,Andrena,subdepressa,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020289,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020289,Andrena,caerulea,Saintsbury,3/26/02,Male,R.W. Brooks,2002,1,netting
20020290,Andrena,cuneilabris,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020290,Andrena,cuneilabris,Saintsbury,3/26/02,Female,R.W. Brooks,2002,1,netting
20020330,Nomada,sp. 3,Veteran's Home,3/26/02,Female,R. W. Brooks,2002,1,netting
20020331,Eucera,frater,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020332,Eucera,frater,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020333,Eucera,frater,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020334,Panurginus,nigrihirtus,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020335,Panurginus,nigrihirtus,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020336,Panurginus,nigrihirtus,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020337,Panurginus,nigrihirtus,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020338,Panurginus,nigrihirtus,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020339,Panurginus,nigrihirtus,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020340,Panurginus,nigrihirtus,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020341,Panurginus,nigrihirtus,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020342,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020343,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020344,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020345,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020346,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020347,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020348,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020349,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020350,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020351,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020352,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020354,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020355,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020356,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020357,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020358,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020359,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020360,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020361,Nomada,sp. 4,Veteran's Home,3/26/02,Female,R. W. Brooks,2002,1,netting
20020362,Osmia,nigrifrons,Veteran's Home,3/26/02,Male,T.L. Griswold,2002,1,netting
20020363,Osmia,sp. 23,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020364,Eucera,frater,Veteran's Home,3/26/02,Female,R. W. Brooks,2002,1,netting
20020365,Nomada,edwardsii,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020366,Ceratina,acantha,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020367,Ceratina,acantha,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020368,Ceratina,nanula,Veteran's Home,3/26/02,,R. W. Brooks,2002,1,netting
20020369,Ceratina,nanula,Veteran's Home,3/26/02,,R. W. Brooks,2002,1,netting
20020370,Ceratina,acantha,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020371,Ceratina,acantha,Veteran's Home,3/26/02,Female,R. W. Brooks,2002,1,netting
20020372,Ceratina,acantha,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020373,Ceratina,acantha,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020374,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020375,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020376,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020378,Nomada,edwardsii,Veteran's Home,3/26/02,Female,R. W. Brooks,2002,1,netting
20020379,Eucera,frater,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020380,Eucera,frater,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020381,Eucera,frater,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020382,Eucera,frater,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020390,Ceratina,acantha,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020391,Ceratina,acantha,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020392,Ceratina,acantha,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020393,Ceratina,acantha,Veteran's Home,3/26/02,Female,R. W. Brooks,2002,1,netting
20020394,Eucera,frater,Veteran's Home,3/26/02,Male,R. W. Brooks,2002,1,netting
20020395,Panurginus,nigrellus,Veteran's Home,3/26/02,Female,R. W. Brooks,2002,1,netting
20020396,Andrena,caerulea,Veteran's Home,3/26/02,Female,R.W. Brooks,2002,1,netting
20020417,Ceratina,acantha,Stag's Leap,5/24/02,Female,R. W. Brooks,2002,1,netting
20020425,Ceratina,acantha,Saintsbury,7/10/02,Female,R. W. Brooks,2002,1,netting
20020427,Ceratina,acantha,Stag's Leap,7/31/02,Female,R. W. Brooks,2002,1,netting
20020429,Ceratina,acantha,Stag's Leap,8/12/02,Female,R. W. Brooks,2002,1,netting
20020430,Ceratina,acantha,Saintsbury,7/10/02,Female,R. W. Brooks,2002,1,netting
20020442,Ceratina,acantha,Saintsbury,6/27/02,Female,R. W. Brooks,2002,1,netting
20020450,Ceratina,acantha,Saintsbury,6/27/02,Female,R. W. Brooks,2002,1,netting
20020473,Ceratina,acantha,Stag's Leap,8/12/02,Female,R. W. Brooks,2002,1,netting
20020475,Ceratina,acantha,Saintsbury,6/4/02,Female,R. W. Brooks,2002,1,netting
20020514,Ceratina,acantha,Goode,8/5/02,Female,R. W. Brooks,2002,1,netting
20020544,Bombus,melanopygus,Bouverie Preserve,4/1/02,Female,Ro. Thorp,2002,1,netting
20020546,Andrena,caerulea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020547,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020548,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020549,Andrena,angustitarsata,Bouverie Preserve,4/1/02,Female,R. W. Brooks,2002,1,netting
20020550,Andrena,caerulea,Bouverie Preserve,4/1/02,Female,R.W. Brooks,2002,1,netting
20020551,Andrena,pulverea,Bouverie Preserve,4/1/02,Female,R.W. Brooks,2002,1,netting
20020552,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020553,Andrena,cerasifolii,Bouverie Preserve,4/1/02,Female,R.W. Brooks,2002,1,netting
20020554,Halictus,tripartitus,Bouverie Preserve,4/1/02,,T. Griswold,2002,1,netting
20020555,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020556,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020557,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020558,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020559,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020560,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020561,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020562,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020563,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020564,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020565,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020566,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020567,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020568,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020569,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020570,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020571,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020572,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020573,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020574,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020575,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020576,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020577,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020578,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020579,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020580,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020581,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020582,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020583,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020585,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020586,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Female,R.W. Brooks,2002,1,netting
20020587,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020588,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020589,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020590,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020591,Andrena,pulverea,Bouverie Preserve,4/1/02,Female,R.W. Brooks,2002,1,netting
20020592,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020593,Andrena,pulverea,Bouverie Preserve,4/1/02,Female,R.W. Brooks,2002,1,netting
20020594,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020595,Andrena,pulverea,Bouverie Preserve,4/1/02,Female,R.W. Brooks,2002,1,netting
20020596,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020597,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020598,Andrena,pulverea,Bouverie Preserve,4/1/02,Female,R.W. Brooks,2002,1,netting
20020599,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020600,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020601,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020602,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020603,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020604,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020605,Andrena,pulverea,Bouverie Preserve,4/1/02,Male,R.W. Brooks,2002,1,netting
20020606,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
20020607,Panurginus,occidentalis,Bouverie Preserve,4/1/02,Male,T. Griswold,2002,1,netting
