ID,SiteName,Conditionsid,date,month,day,year
41,Chateau St. Jean /Watmaugh Rd.,122,6/10/02,6,10,2002
42,Chateau St. Jean /Watmaugh Rd.,99,6/25/02,6,25,2002
43,Chateau St. Jean /Watmaugh Rd.,109,7/8/02,7,8,2002
44,Chateau St. Jean /Watmaugh Rd.,146,7/23/02,7,23,2002
45,Chateau St. Jean /Watmaugh Rd.,155,8/7/02,8,7,2002
46,Chateau St. Jean /Watmaugh Rd.,164,8/21/02,8,21,2002
47,Chateau St. Jean /Watmaugh Rd.,182,9/16/02,9,16,2002
48,Chateau St. Jean /Watmaugh Rd.,193,3/21/03,3,21,2003
49,Chateau St. Jean /Watmaugh Rd.,205,4/19/03,4,19,2003
50,Chateau St. Jean /Watmaugh Rd.,225,5/16/03,5,16,2003
51,Chateau St. Jean /Watmaugh Rd.,235,5/30/03,5,30,2003
52,Chateau St. Jean /Watmaugh Rd.,234,6/3/03,6,3,2003
53,Chateau St. Jean /Watmaugh Rd.,248,6/24/03,6,24,2003
54,Chateau St. Jean /Watmaugh Rd.,259,7/9/03,7,9,2003
55,Chateau St. Jean /Watmaugh Rd.,273,7/23/03,7,23,2003
56,Chateau St. Jean /Watmaugh Rd.,284,8/14/03,8,14,2003
57,Chateau St. Jean /Watmaugh Rd.,304,9/19/03,9,19,2003
59,Chateau St. Jean /Watmaugh Rd.,687,3/17/04,3,17,2004
58,Chateau St. Jean /Watmaugh Rd.,540,3/17/04,3,17,2004
60,Chateau St. Jean /Watmaugh Rd.,548,4/6/04,4,6,2004
61,Chateau St. Jean /Watmaugh Rd.,695,4/6/04,4,6,2004
62,Chateau St. Jean /Watmaugh Rd.,712,5/4/04,5,4,2004
63,Chateau St. Jean /Watmaugh Rd.,720,5/12/04,5,12,2004
64,Chateau St. Jean /Watmaugh Rd.,740,6/11/04,6,11,2004
65,Chateau St. Jean /Watmaugh Rd.,749,6/23/04,6,23,2004
66,Chateau St. Jean /Watmaugh Rd.,759,7/8/04,7,8,2004
67,Chateau St. Jean /Watmaugh Rd.,771,7/27/04,7,27,2004
68,Chateau St. Jean /Watmaugh Rd.,779,8/6/04,8,6,2004
69,Chateau St. Jean /Watmaugh Rd.,794,9/9/04,9,9,2004
70,Chateau St. Jean /Watmaugh Rd.,806,10/4/04,10,4,2004
71,Goode,208,3/15/01,3,15,2001
72,Goode,14,3/26/02,3,26,2002
73,Goode,61,4/12/02,4,12,2002
74,Goode,50,4/22/02,4,22,2002
75,Goode,62,5/13/02,5,13,2002
76,Goode,56,5/29/02,5,29,2002
77,Goode,123,6/10/02,6,10,2002
78,Goode,98,6/25/02,6,25,2002
79,Goode,108,7/8/02,7,8,2002
80,Goode,145,7/23/02,7,23,2002
81,Goode,151,8/5/02,8,5,2002
82,Goode,163,8/21/02,8,21,2002
83,Goode,183,9/16/02,9,16,2002
84,Goode,199,3/28/03,3,28,2003
85,Goode,211,5/7/03,5,7,2003
86,Goode,220,5/16/03,5,16,2003
87,Goode,243,6/20/03,6,20,2003
88,Goode,253,6/30/03,6,30,2003
89,Goode,269,7/18/03,7,18,2003
90,Goode,279,7/30/03,7,30,2003
91,Goode,287,8/20/03,8,20,2003
92,Goode,301,9/18/03,9,18,2003
93,Goode,542,3/19/04,3,19,2004
94,Goode,689,3/19/04,3,19,2004
95,Goode,556,4/23/04,4,23,2004
96,Goode,705,4/23/04,4,23,2004
97,Goode,717,5/7/04,5,7,2004
98,Goode,719,5/12/04,5,12,2004
99,Goode,732,6/4/04,6,4,2004
100,Goode,742,6/17/04,6,17,2004
101,Goode,755,7/2/04,7,2,2004
102,Goode,765,7/16/04,7,16,2004
103,Goode,775,7/30/04,7,30,2004
104,Goode,784,8/13/04,8,13,2004
105,Goode,798,9/13/04,9,13,2004
106,Goode,804,9/27/04,9,27,2004
107,Hudson,27,4/12/02,4,12,2002
108,Hudson,17,4/18/02,4,18,2002
109,Hudson,9,5/2/02,5,2,2002
110,Hudson,30,5/17/02,5,17,2002
111,Hudson,119,6/4/02,6,4,2002
112,Hudson,127,6/14/02,6,14,2002
113,Hudson,100,6/27/02,6,27,2002
114,Hudson,112,7/10/02,7,10,2002
116,Hudson,148,7/26/02,7,26,2002
115,Hudson,21,7/26/02,7,26,2002
117,Hudson,156,8/7/02,8,7,2002
118,Hudson,166,8/22/02,8,22,2002
119,Hudson,190,9/21/02,9,21,2002
120,Hudson,191,3/18/03,3,18,2003
121,Hudson,206,4/19/03,4,19,2003
122,Hudson,224,5/16/03,5,16,2003
123,Hudson,265,5/30/03,5,30,2003
124,Hudson,233,6/3/03,6,3,2003
125,Hudson,247,6/24/03,6,24,2003
126,Hudson,260,7/9/03,7,9,2003
127,Hudson,274,7/23/03,7,23,2003
128,Hudson,285,8/14/03,8,14,2003
129,Hudson,302,9/18/03,9,18,2003
130,Hudson,537,3/16/04,3,16,2004
131,Hudson,684,3/16/04,3,16,2004
132,Hudson,698,4/6/04,4,6,2004
133,Hudson,549,4/6/04,4,6,2004
134,Hudson,711,5/4/04,5,4,2004
135,Hudson,718,5/11/04,5,11,2004
136,Hudson,731,6/1/04,6,1,2004
137,Hudson,739,6/11/04,6,11,2004
138,Hudson,748,6/23/04,6,23,2004
139,Hudson,758,7/8/04,7,8,2004
140,Hudson,768,7/21/04,7,21,2004
141,Hudson,780,8/6/04,8,6,2004
142,Hudson,795,9/9/04,9,9,2004
143,Hudson,807,10/4/04,10,4,2004
144,Kelham Vineyards,1,5/29/02,5,29,2002
145,Kelham Vineyards,219,5/9/03,5,9,2003
146,Kelham Vineyards,227,5/23/03,5,23,2003
147,Kelham Vineyards,249,6/24/03,6,24,2003
148,Kelham Vineyards,256,7/2/03,7,2,2003
149,Kelham Vineyards,271,7/18/03,7,18,2003
150,Kelham Vineyards,281,8/1/03,8,1,2003
151,Kelham Vineyards,290,8/22/03,8,22,2003
153,Kelham Vineyards,702,4/22/04,4,22,2004
152,Kelham Vineyards,553,4/22/04,4,22,2004
154,Kelham Vineyards,714,5/5/04,5,5,2004
155,Kelham Vineyards,725,5/21/04,5,21,2004
156,Kelham Vineyards,735,6/4/04,6,4,2004
157,Kelham Vineyards,744,6/18/04,6,18,2004
158,Kelham Vineyards,752,7/2/04,7,2,2004
159,Kelham Vineyards,762,7/15/04,7,15,2004
160,Kelham Vineyards,772,7/29/04,7,29,2004
161,Kelham Vineyards,782,8/10/04,8,10,2004
162,Kelham Vineyards,791,9/6/04,9,6,2004
163,Kelham Vineyards,803,9/20/04,9,20,2004
164,Kunde,3,5/17/02,5,17,2002
165,Kunde,54,5/17/02,5,17,2002
166,Kunde,114,5/31/02,5,31,2002
167,Kunde,125,6/12/02,6,12,2002
168,Kunde,97,6/24/02,6,24,2002
169,Kunde,110,7/9/02,7,9,2002
170,Kunde,143,7/22/02,7,22,2002
171,Kunde,150,8/5/02,8,5,2002
172,Kunde,161,8/20/02,8,20,2002
173,Kunde,184,9/16/02,9,16,2002
174,Kunde,197,3/28/03,3,28,2003
175,Kunde,213,5/7/03,5,7,2003
176,Kunde,221,5/16/03,5,16,2003
177,Kunde,245,6/20/03,6,20,2003
178,Kunde,251,6/30/03,6,30,2003
179,Kunde,267,7/18/03,7,18,2003
180,Kunde,280,7/30/03,7,30,2003
181,Kunde,289,8/20/03,8,20,2003
182,Kunde,306,9/19/03,9,19,2003
183,Kunde,690,3/19/04,3,19,2004
184,Lake Hennessey,59,3/26/02,3,26,2002
185,Lake Hennessey,34,4/19/02,4,19,2002
186,Lake Hennessey,43,5/3/02,5,3,2002
187,Lake Hennessey,38,5/23/02,5,23,2002
188,Lake Hennessey,120,6/7/02,6,7,2002
189,Lake Hennessey,132,6/18/02,6,18,2002
190,Lake Hennessey,105,7/2/02,7,2,2002
191,Lake Hennessey,141,7/17/02,7,17,2002
192,Lake Hennessey,172,7/29/02,7,29,2002
193,Lake Hennessey,160,8/19/02,8,19,2002
194,Lake Hennessey,180,8/30/02,8,30,2002
195,Lake Hennessey,187,9/20/02,9,20,2002
196,Lake Hennessey,200,4/8/03,4,8,2003
197,Lake Hennessey,217,5/9/03,5,9,2003
198,Lake Hennessey,228,5/23/03,5,23,2003
199,Lake Hennessey,239,6/15/03,6,15,2003
200,Lake Hennessey,257,7/2/03,7,2,2003
201,Lake Hennessey,270,7/18/03,7,18,2003
202,Lake Hennessey,282,8/1/03,8,1,2003
203,Lake Hennessey,291,8/22/03,8,22,2003
205,Lake Hennessey,693,3/24/04,3,24,2004
204,Lake Hennessey,546,3/24/04,3,24,2004
207,Lake Hennessey,550,4/8/04,4,8,2004
206,Lake Hennessey,699,4/8/04,4,8,2004
209,Lake Hennessey,708,4/30/04,4,30,2004
208,Lake Hennessey,559,4/30/04,4,30,2004
210,Quintessa,57,4/19/02,4,19,2002
211,Quintessa,37,5/3/02,5,3,2002
213,Quintessa,32,5/23/02,5,23,2002
214,Quintessa,121,6/7/02,6,7,2002
215,Quintessa,133,6/18/02,6,18,2002
216,Quintessa,104,7/2/02,7,2,2002
217,Quintessa,142,7/17/02,7,17,2002
218,Quintessa,173,7/29/02,7,29,2002
219,Quintessa,158,8/19/02,8,19,2002
220,Quintessa,179,8/30/02,8,30,2002
221,Quintessa,186,9/20/02,9,20,2002
222,Quintessa,201,4/8/03,4,8,2003
223,Quintessa,218,5/9/03,5,9,2003
224,Quintessa,229,5/23/03,5,23,2003
225,Quintessa,240,6/18/03,6,18,2003
226,Quintessa,258,7/2/03,7,2,2003
227,Quintessa,272,7/18/03,7,18,2003
228,Quintessa,283,8/1/03,8,1,2003
229,Quintessa,292,8/22/03,8,22,2003
230,Quintessa,688,3/18/04,3,18,2004
231,Quintessa,541,3/18/04,3,18,2004
233,Quintessa,552,4/8/04,4,8,2004
232,Quintessa,701,4/8/04,4,8,2004
235,Quintessa,560,4/30/04,4,30,2004
234,Quintessa,709,4/30/04,4,30,2004
236,Quintessa,722,5/14/04,5,14,2004
237,Quintessa,729,5/28/04,5,28,2004
238,Quintessa,737,6/11/04,6,11,2004
239,Quintessa,750,6/25/04,6,25,2004
240,Quintessa,761,7/12/04,7,12,2004
241,Quintessa,770,7/22/04,7,22,2004
242,Quintessa,778,8/5/04,8,5,2004
243,Quintessa,788,8/19/04,8,19,2004
244,Quintessa,789,9/3/04,9,3,2004
245,Quintessa,801,9/16/04,9,16,2004
246,Rector Resevoir,60,3/28/02,3,28,2002
247,Rector Resevoir,49,4/19/02,4,19,2002
248,Rector Resevoir,29,5/3/02,5,3,2002
249,Rector Resevoir,46,5/22/02,5,22,2002
250,Rector Resevoir,117,6/3/02,6,3,2002
251,Rector Resevoir,135,6/20/02,6,20,2002
252,Rector Resevoir,103,7/1/02,7,1,2002
253,Rector Resevoir,140,7/16/02,7,16,2002
254,Rector Resevoir,174,7/29/02,7,29,2002
255,Rector Resevoir,159,8/19/02,8,19,2002
256,Rector Resevoir,181,8/30/02,8,30,2002
257,Rector Resevoir,194,9/29/02,9,29,2002
258,Rector Resevoir,203,4/11/03,4,11,2003
259,Saintsbury,6,3/26/02,3,26,2002
260,Saintsbury,15,3/26/02,3,26,2002
261,Saintsbury,23,4/12/02,4,12,2002
262,Saintsbury,47,4/12/02,4,12,2002
264,Saintsbury,41,4/18/02,4,18,2002
263,Saintsbury,48,4/18/02,4,18,2002
265,Saintsbury,36,5/2/02,5,2,2002
266,Saintsbury,51,5/17/02,5,17,2002
267,Saintsbury,118,6/4/02,6,4,2002
268,Saintsbury,126,6/14/02,6,14,2002
269,Saintsbury,101,6/27/02,6,27,2002
270,Saintsbury,113,7/10/02,7,10,2002
271,Saintsbury,147,7/26/02,7,26,2002
272,Saintsbury,157,8/7/02,8,7,2002
273,Saintsbury,165,8/22/02,8,22,2002
274,Saintsbury,189,9/21/02,9,21,2002
275,Saintsbury,192,3/18/03,3,18,2003
276,Saintsbury,207,4/19/03,4,19,2003
277,Saintsbury,223,5/16/03,5,16,2003
278,Saintsbury,236,5/30/03,5,30,2003
279,Saintsbury,237,6/3/03,6,3,2003
280,Saintsbury,246,6/24/03,6,24,2003
281,Saintsbury,261,7/9/03,7,9,2003
282,Saintsbury,275,7/23/03,7,23,2003
283,Saintsbury,286,8/14/03,8,14,2003
284,Saintsbury,303,9/18/03,9,18,2003
285,Saintsbury,539,3/16/04,3,16,2004
286,Saintsbury,686,3/16/04,3,16,2004
287,Saintsbury,547,4/6/04,4,6,2004
288,Saintsbury,710,5/4/04,5,4,2004
297,Saintsbury,724,5/14/04,5,14,2004
289,Saintsbury,730,6/1/04,6,1,2004
290,Saintsbury,741,6/11/04,6,11,2004
291,Saintsbury,747,6/23/04,6,23,2004
292,Saintsbury,757,7/8/04,7,8,2004
293,Saintsbury,767,7/21/04,7,21,2004
294,Saintsbury,781,8/6/04,8,6,2004
295,Saintsbury,796,9/9/04,9,9,2004
296,Saintsbury,808,10/4/04,10,4,2004
298,Stag's Leap,24,5/6/02,5,6,2002
299,Stag's Leap,33,5/24/02,5,24,2002
300,Stag's Leap,130,6/7/02,6,7,2002
301,Stag's Leap,129,6/17/02,6,17,2002
302,Stag's Leap,106,7/3/02,7,3,2002
303,Stag's Leap,137,7/15/02,7,15,2002
304,Stag's Leap,177,7/31/02,7,31,2002
305,Stag's Leap,153,8/12/02,8,12,2002
306,Stag's Leap,171,8/26/02,8,26,2002
307,Stag's Leap,169,8/26/02,8,26,2002
308,Stag's Leap,195,9/29/02,9,29,2002
309,Stag's Leap,215,5/9/03,5,9,2003
310,Stag's Leap,230,5/23/03,5,23,2003
311,Stag's Leap,242,6/18/03,6,18,2003
312,Stag's Leap,255,7/1/03,7,1,2003
313,Stag's Leap,264,7/11/03,7,11,2003
314,Stag's Leap,277,7/25/03,7,25,2003
315,Stag's Leap,297,8/22/03,8,22,2003
316,Stag's Leap,298,9/13/03,9,13,2003
318,Stag's Leap,545,3/24/04,3,24,2004
317,Stag's Leap,692,3/24/04,3,24,2004
319,Stag's Leap,555,4/23/04,4,23,2004
320,Stag's Leap,704,4/23/04,4,23,2004
321,Stag's Leap,713,5/5/04,5,5,2004
322,Stag's Leap,727,5/21/04,5,21,2004
323,Stag's Leap,734,6/4/04,6,4,2004
324,Stag's Leap,746,6/18/04,6,18,2004
325,Stag's Leap,753,7/2/04,7,2,2004
326,Stag's Leap,763,7/15/04,7,15,2004
327,Stag's Leap,774,7/29/04,7,29,2004
328,Stag's Leap,787,8/19/04,8,19,2004
329,Stag's Leap,790,9/3/04,9,3,2004
330,Stag's Leap,800,9/16/04,9,16,2004
331,Veterans' Home,16,3/26/02,3,26,2002
332,Veterans' Home,42,4/19/02,4,19,2002
333,Veterans' Home,53,5/3/02,5,3,2002
334,Veterans' Home,12,5/22/02,5,22,2002
335,Veterans' Home,116,6/3/02,6,3,2002
336,Veterans' Home,134,6/20/02,6,20,2002
337,Veterans' Home,102,7/1/02,7,1,2002
338,Veterans' Home,139,7/16/02,7,16,2002
339,Veterans' Home,176,7/31/02,7,31,2002
340,Veterans' Home,152,8/12/02,8,12,2002
341,Veterans' Home,167,8/26/02,8,26,2002
342,Veterans' Home,188,9/20/02,9,20,2002
343,Veterans' Home,204,4/11/03,4,11,2003
344,Veterans' Home,214,5/9/03,5,9,2003
345,Veterans' Home,231,5/23/03,5,23,2003
346,Veterans' Home,238,6/15/03,6,15,2003
347,Veterans' Home,250,6/24/03,6,24,2003
348,Veterans' Home,262,7/11/03,7,11,2003
349,Veterans' Home,276,7/25/03,7,25,2003
350,Veterans' Home,294,8/8/03,8,8,2003
351,Veterans' Home,295,8/22/03,8,22,2003
352,Veterans' Home,299,9/13/03,9,13,2003
354,Veterans' Home,538,3/16/04,3,16,2004
353,Veterans' Home,685,3/16/04,3,16,2004
356,Veterans' Home,700,4/8/04,4,8,2004
355,Veterans' Home,551,4/8/04,4,8,2004
358,Veterans' Home,558,4/30/04,4,30,2004
357,Veterans' Home,707,4/30/04,4,30,2004
359,Veterans' Home,723,5/14/04,5,14,2004
360,Veterans' Home,728,5/28/04,5,28,2004
361,Veterans' Home,738,6/11/04,6,11,2004
362,Veterans' Home,751,6/25/04,6,25,2004
363,Veterans' Home,760,7/12/04,7,12,2004
364,Veterans' Home,769,7/22/04,7,22,2004
365,Veterans' Home,777,8/5/04,8,5,2004
366,Veterans' Home,786,8/19/04,8,19,2004
367,Veterans' Home,793,9/6/04,9,6,2004
368,Veterans' Home,802,9/20/04,9,20,2004
369,Wappo Hill,58,5/10/02,5,10,2002
370,Wappo Hill,5,5/24/02,5,24,2002
371,Wappo Hill,131,6/7/02,6,7,2002
372,Wappo Hill,138,6/12/02,6,12,2002
373,Wappo Hill,128,6/17/02,6,17,2002
374,Wappo Hill,107,7/3/02,7,3,2002
375,Wappo Hill,136,7/15/02,7,15,2002
376,Wappo Hill,178,7/31/02,7,31,2002
377,Wappo Hill,154,8/12/02,8,12,2002
378,Wappo Hill,168,8/26/02,8,26,2002
379,Wappo Hill,196,9/29/02,9,29,2002
380,Wappo Hill,202,4/11/03,4,11,2003
381,Wappo Hill,216,5/9/03,5,9,2003
382,Wappo Hill,232,5/23/03,5,23,2003
383,Wappo Hill,241,6/18/03,6,18,2003
384,Wappo Hill,254,7/1/03,7,1,2003
385,Wappo Hill,263,7/11/03,7,11,2003
386,Wappo Hill,278,7/25/03,7,25,2003
387,Wappo Hill,296,8/22/03,8,22,2003
388,Wappo Hill,300,9/13/03,9,13,2003
389,Wappo Hill,554,4/22/04,4,22,2004
390,Wappo Hill,703,4/22/04,4,22,2004
391,Wappo Hill,715,5/5/04,5,5,2004
392,Wappo Hill,726,5/21/04,5,21,2004
393,Wappo Hill,736,6/4/04,6,4,2004
394,Wappo Hill,745,6/18/04,6,18,2004
395,Wappo Hill,754,7/2/04,7,2,2004
396,Wappo Hill,764,7/15/04,7,15,2004
397,Wappo Hill,773,7/29/04,7,29,2004
398,Wappo Hill,783,8/10/04,8,10,2004
399,Wappo Hill,792,9/6/04,9,6,2004
400,Wappo Hill,799,9/16/04,9,16,2004
212,,,,,,
