SiteName,ddate,event,comboevent,eventmonth,Year,Month,stevent
Chateau St. Jean /Watmaugh Rd.,4/6/04,1,1,2,2004,4,2
Chateau St. Jean /Watmaugh Rd.,5/4/04,2,1,3,2004,5,
Chateau St. Jean /Watmaugh Rd.,6/11/04,3,2,4,2004,6,
Chateau St. Jean /Watmaugh Rd.,6/23/04,4,2,4,2004,6,
Chateau St. Jean /Watmaugh Rd.,7/8/04,5,3,5,2004,7,
Chateau St. Jean /Watmaugh Rd.,7/27/04,6,3,5,2004,7,
Chateau St. Jean /Watmaugh Rd.,8/6/04,7,4,6,2004,8,
Chateau St. Jean /Watmaugh Rd.,9/9/04,8,4,7,2004,9,
Goode,3/15/01,na,na,na,2001,3,
Lake Hennessey,5/3/02,3,2,2,2002,5,1
Quintessa,5/3/02,5,3,2,2002,5,1
Rector Resevoir,5/3/02,3,2,2,2002,5,1
Veterans' Home,5/3/02,3,2,2,2002,5,1
Stag's Leap,5/6/02,1,1,2,2002,5,1
Bouverie Preserve,5/10/02,3,2,2,2002,5,1
Wappo Hill,5/10/02,1,1,2,2002,5,1
Chateau St. Jean /Watmaugh Rd.,5/13/02,4,2,2,2002,5,1
Goode,5/13/02,4,2,2,2002,5,1
Kunde,5/17/02,1,1,2,2002,5,1
Hudson,5/17/02,4,2,2,2002,5,2
Saintsbury,5/17/02,5,3,2,2002,5,2
Stag's Leap,5/9/03,1,1,3,2003,5,2
Veterans' Home,5/9/03,2,1,3,2003,5,2
Wappo Hill,5/9/03,2,1,3,2003,5,2
Bouverie Preserve,5/16/03,3,2,3,2003,5,3
Chateau St. Jean /Watmaugh Rd.,5/16/03,3,2,3,2003,5,3
Goode,5/16/03,3,2,3,2003,5,3
Hudson,5/16/03,3,2,3,2003,5,3
Saintsbury,5/16/03,3,2,3,2003,5,3
Kunde,5/16/03,3,2,3,2003,5,3
Goode,4/23/04,1,1,2,2004,4,
Goode,5/7/04,2,1,3,2004,5,
Goode,5/12/04,3,2,3,2004,5,
Goode,6/4/04,4,2,4,2004,6,
Goode,6/17/04,5,3,4,2004,6,
Goode,7/2/04,6,3,5,2004,7,
Goode,7/16/04,7,4,5,2004,7,
Goode,7/30/04,8,4,5,2004,7,
Goode,8/13/04,9,5,6,2004,8,
Goode,9/13/04,10,5,7,2004,9,
Goode,9/27/04,11,6,7,2004,9,
Rector Resevoir,5/22/02,4,2,2,2002,5,2
Veterans' Home,5/22/02,4,2,2,2002,5,2
Lake Hennessey,5/23/02,4,2,2,2002,5,2
Quintessa,5/23/02,6,3,2,2002,5,2
Stag's Leap,5/24/02,2,1,2,2002,5,2
Wappo Hill,5/24/02,2,1,2,2002,5,2
Goode,5/29/02,5,3,2,2002,5,2
Kelham Vineyards,5/29/02,na,na,na,2002,na,na
Bouverie Preserve,5/31/02,4,2,2,2002,5,2
Kunde,5/31/02,2,1,2,2002,5,2
Rector Resevoir,6/3/02,5,3,3,2002,6,3
Veterans' Home,6/3/02,5,3,3,2002,6,3
Kelham Vineyards,5/23/03,3,2,3,2003,5,3
Lake Hennessey,5/23/03,3,2,3,2003,5,3
Quintessa,5/23/03,3,2,3,2003,5,3
Stag's Leap,5/23/03,2,1,3,2003,5,3
Veterans' Home,5/23/03,3,2,3,2003,5,3
Wappo Hill,5/23/03,3,2,3,2003,5,3
Chateau St. Jean /Watmaugh Rd.,5/30/03,4,2,3,2003,5,4
Hudson,5/30/03,4,2,3,2003,5,4
Saintsbury,5/30/03,4,2,3,2003,5,4
Chateau St. Jean /Watmaugh Rd.,6/3/03,5,3,4,2003,6,4
Hudson,5/4/04,1,1,3,2004,5,
Hudson,5/11/04,2,1,3,2004,5,
Hudson,6/1/04,3,2,4,2004,6,
Hudson,6/11/04,4,2,4,2004,6,
Hudson,6/23/04,5,3,4,2004,6,
Hudson,7/8/04,6,3,5,2004,7,
Hudson,7/21/04,7,4,5,2004,7,
Hudson,8/6/04,8,4,6,2004,8,
Hudson,9/9/04,9,5,7,2004,9,
Hudson,10/4/04,9,5,7,2004,10,
Hudson,6/4/02,5,3,3,2002,6,na
Hudson,6/3/03,5,3,4,2003,6,4
Saintsbury,6/3/03,5,3,4,2003,6,4
Bouverie Preserve,6/5/03,4,2,4,2003,6,4
Lake Hennessey,6/15/03,4,2,4,2003,6,4
Veterans' Home,6/15/03,4,2,4,2003,6,4
Quintessa,6/18/03,4,2,4,2003,6,4
Stag's Leap,6/18/03,3,2,4,2003,6,4
Kelham Vineyards,4/22/04,1,1,2,2004,4,
Kelham Vineyards,5/5/04,2,1,3,2004,5,
Kelham Vineyards,5/21/04,3,2,3,2004,5,
Kelham Vineyards,6/4/04,4,2,4,2004,6,
Kelham Vineyards,6/18/04,5,3,4,2004,6,
Kelham Vineyards,7/2/04,6,3,5,2004,7,
Kelham Vineyards,7/15/04,7,4,5,2004,7,
Kelham Vineyards,7/29/04,8,4,5,2004,7,
Kelham Vineyards,8/10/04,9,5,6,2004,8,
Kelham Vineyards,9/6/04,9,5,7,2004,9,
Kelham Vineyards,9/20/04,10,6,7,2004,9,
Saintsbury,6/4/02,6,3,3,2002,6,na
Lake Hennessey,6/7/02,5,3,3,2002,6,3
Quintessa,6/7/02,7,4,3,2002,6,3
Stag's Leap,6/7/02,3,2,3,2002,6,3
Wappo Hill,6/7/02,3,2,3,2002,6,3
Chateau St. Jean /Watmaugh Rd.,6/10/02,5,3,5,2002,6,3
Goode,6/10/02,6,3,3,2002,6,3
Bouverie Preserve,6/12/02,5,3,3,2002,6,3
Kunde,6/12/02,3,2,3,2002,6,3
Wappo Hill,6/18/03,4,2,4,2003,6,4
Bouverie Preserve,6/20/03,5,3,4,2003,6,4
Goode,6/20/03,4,2,4,2003,6,4
Kunde,6/20/03,4,2,4,2003,6,4
Kelham Vineyards,6/24/03,4,2,4,2003,6,5
Chateau St. Jean /Watmaugh Rd.,6/24/03,6,3,4,2003,6,5
Hudson,6/24/03,6,3,4,2003,6,5
Saintsbury,6/24/03,6,3,4,2003,6,5
Veterans' Home,6/24/03,5,3,4,2003,6,5
Kunde,3/19/04,na,na,na,2004,3,
Wappo Hill,6/12/02,4,2,3,2002,6,na
Hudson,6/14/02,6,3,3,2002,6,3
Saintsbury,6/14/02,7,4,3,2002,6,3
Stag's Leap,6/17/02,4,2,3,2002,6,4
Wappo Hill,6/17/02,5,3,3,2002,6,4
Lake Hennessey,6/18/02,6,3,3,2002,6,4
Quintessa,6/18/02,8,4,3,2002,6,4
Rector Resevoir,6/20/02,6,3,3,2002,6,4
Veterans' Home,6/20/02,6,3,3,2002,6,4
Bouverie Preserve,6/24/02,6,3,3,2002,6,4
Kunde,6/24/02,4,2,3,2002,6,4
Chateau St. Jean /Watmaugh Rd.,6/25/02,6,3,3,2002,6,4
Goode,6/30/03,5,3,4,2003,6,5
Bouverie Preserve,6/30/03,6,3,4,2003,6,5
Kunde,6/30/03,5,3,4,2003,6,5
Stag's Leap,7/1/03,4,2,5,2003,7,5
Wappo Hill,7/1/03,5,3,5,2003,7,5
Kelham Vineyards,7/2/03,5,3,5,2003,7,5
Lake Hennessey,7/2/03,5,3,5,2003,7,5
Quintessa,7/2/03,5,3,5,2003,7,5
Lake Hennessey,3/24/04,1,1,2,2004,3,
Lake Hennessey,4/8/04,2,1,2,2004,4,
Lake Hennessey,4/30/04,3,2,2,2004,4,
Goode,6/25/02,7,4,3,2002,6,4
Hudson,6/27/02,7,4,3,2002,6,4
Saintsbury,6/27/02,8,4,3,2002,6,4
Rector Resevoir,7/1/02,7,4,4,2002,7,5
Veterans' Home,7/1/02,7,4,4,2002,7,5
Lake Hennessey,7/2/02,7,4,4,2002,7,5
Quintessa,7/2/02,9,5,4,2002,7,5
Stag's Leap,7/3/02,5,3,4,2002,7,5
Wappo Hill,7/3/02,6,3,4,2002,7,5
Chateau St. Jean /Watmaugh Rd.,7/8/02,7,4,4,2002,7,5
Goode,7/8/02,8,4,4,2002,7,5
Chateau St. Jean /Watmaugh Rd.,7/9/03,7,4,5,2003,7,6
Hudson,7/9/03,7,4,5,2003,7,6
Saintsbury,7/9/03,7,4,5,2003,7,6
Stag's Leap,7/11/03,5,3,5,2003,7,6
Veterans' Home,7/11/03,6,3,5,2003,7,6
Wappo Hill,7/11/03,6,3,5,2003,7,6
Kelham Vineyards,7/18/03,6,3,5,2003,7,6
Goode,7/18/03,6,3,5,2003,7,6
Quintessa,4/8/04,1,1,2,2004,4,
Quintessa,4/30/04,2,1,2,2004,4,
Quintessa,5/14/04,3,2,3,2004,5,
Quintessa,5/28/04,4,2,3,2004,5,
Quintessa,6/11/04,5,3,4,2004,6,
Quintessa,6/25/04,6,3,4,2004,6,
Quintessa,7/12/04,7,4,5,2004,7,
Quintessa,7/22/04,8,4,5,2004,7,
Quintessa,8/5/04,9,5,6,2004,8,
Quintessa,9/3/04,10,5,7,2004,9,
Quintessa,9/16/04,11,6,7,2004,9,
Bouverie Preserve,7/9/02,7,4,4,2002,7,5
Kunde,7/9/02,5,3,4,2002,7,5
Hudson,7/10/02,8,4,4,2002,7,5
Saintsbury,7/10/02,9,5,4,2002,7,5
Stag's Leap,7/15/02,6,3,4,2002,7,6
Wappo Hill,7/15/02,7,4,4,2002,7,6
Rector Resevoir,7/16/02,8,4,4,2002,7,6
Veterans' Home,7/16/02,8,4,4,2002,7,6
Lake Hennessey,7/17/02,8,4,4,2002,7,6
Quintessa,7/17/02,10,5,4,2002,7,6
Bouverie Preserve,7/22/02,8,4,4,2002,7,6
Kunde,7/22/02,6,3,4,2002,7,6
Bouverie Preserve,7/18/03,7,4,5,2003,7,6
Chateau St. Jean /Watmaugh Rd.,7/23/02,8,4,8,2002,7,6
Goode,7/23/02,9,5,4,2002,7,6
Hudson,7/26/02,9,5,4,2002,7,6
Saintsbury,7/26/02,10,5,4,2002,7,6
Lake Hennessey,7/29/02,9,5,4,2002,7,7
Quintessa,7/29/02,11,6,4,2002,7,7
Rector Resevoir,7/29/02,9,5,4,2002,7,7
Stag's Leap,7/31/02,7,4,4,2002,7,7
Wappo Hill,7/31/02,8,4,4,2002,7,7
Veterans' Home,7/31/02,9,5,4,2002,7,7
Goode,8/5/02,10,5,5,2002,8,7
Bouverie Preserve,8/5/02,9,5,5,2002,8,7
Kunde,8/5/02,7,4,5,2002,8,7
Kunde,7/18/03,6,3,5,2003,7,6
Lake Hennessey,7/18/03,6,3,5,2003,7,6
Quintessa,7/18/03,6,3,5,2003,7,6
Hudson,7/23/03,8,4,5,2003,7,7
Chateau St. Jean /Watmaugh Rd.,7/23/03,8,4,5,2003,7,7
Saintsbury,7/23/03,8,4,5,2003,7,7
Stag's Leap,7/25/03,6,3,5,2003,7,7
Veterans' Home,7/25/03,7,4,5,2003,7,7
Wappo Hill,7/25/03,7,4,5,2003,7,7
Kunde,7/30/03,7,4,5,2003,7,7
Saintsbury,4/6/04,1,1,2,2004,4,
Saintsbury,5/4/04,2,1,3,2004,5,
Saintsbury,5/14/04,3,2,3,2004,5,
Saintsbury,6/1/04,4,2,4,2004,6,
Saintsbury,6/11/04,5,3,4,2004,6,
Saintsbury,6/23/04,6,3,4,2004,6,
Saintsbury,7/8/04,7,4,5,2004,7,
Saintsbury,7/21/04,8,4,5,2004,7,
Saintsbury,8/6/04,9,5,6,2004,8,
Saintsbury,9/9/04,10,5,7,2004,9,
Hudson,8/7/02,9,5,5,2002,8,7
Chateau St. Jean /Watmaugh Rd.,8/7/02,9,5,5,2002,8,7
Saintsbury,8/7/02,11,6,5,2002,8,7
Stag's Leap,8/12/02,8,4,5,2002,8,8
Wappo Hill,8/12/02,9,5,5,2002,8,8
Veterans' Home,8/12/02,10,5,5,2002,8,8
Lake Hennessey,8/19/02,10,5,5,2002,8,8
Quintessa,8/19/02,12,6,5,2002,8,8
Rector Resevoir,8/19/02,10,5,5,2002,8,8
Bouverie Preserve,8/20/02,10,5,5,2002,8,8
Goode,7/30/03,7,4,5,2003,7,7
Kelham Vineyards,8/1/03,7,4,6,2003,8,7
Lake Hennessey,8/1/03,7,4,6,2003,8,7
Quintessa,8/1/03,7,4,6,2003,8,7
Bouverie Preserve,8/8/03,8,4,6,2003,8,7
Veterans' Home,8/8/03,8,4,6,2003,8,7
Hudson,8/14/03,9,5,6,2003,8,8
Chateau St. Jean /Watmaugh Rd.,8/14/03,9,5,6,2003,8,8
Stag's Leap,4/23/04,1,1,2,2004,4,
Stag's Leap,5/5/04,2,1,3,2004,5,
Stag's Leap,5/21/04,3,2,3,2004,5,
Stag's Leap,6/4/04,4,2,4,2004,6,
Stag's Leap,6/18/04,5,3,4,2004,6,
Stag's Leap,7/2/04,6,3,5,2004,7,
Stag's Leap,7/15/04,7,4,5,2004,7,
Stag's Leap,7/29/04,8,4,5,2004,7,
Stag's Leap,9/3/04,9,5,7,2004,9,
Stag's Leap,9/16/04,10,5,7,2004,9,
Kunde,8/20/02,8,4,5,2002,8,8
Goode,8/21/02,11,6,5,2002,8,8
Chateau St. Jean /Watmaugh Rd.,8/21/02,10,5,5,2002,8,8
Hudson,8/22/02,10,6,5,2002,8,8
Saintsbury,8/22/02,12,6,5,2002,8,8
Stag's Leap,8/26/02,9,5,5,2002,8,na
Wappo Hill,8/26/02,10,5,5,2002,8,na
Veterans' Home,8/26/02,11,6,5,2002,8,na
Lake Hennessey,8/30/02,11,6,5,2002,8,na
Quintessa,8/30/02,13,7,5,2002,8,na
Rector Resevoir,8/30/02,11,6,5,2002,8,9
Goode,9/16/02,12,6,6,2002,9,9
Saintsbury,8/14/03,9,5,6,2003,8,8
Kunde,8/20/03,8,4,6,2003,8,8
Goode,8/20/03,8,4,6,2003,8,8
Bouverie Preserve,8/20/03,9,5,6,2003,8,8
Kelham Vineyards,8/22/03,8,4,6,2003,8,8
Quintessa,8/22/03,8,4,6,2003,8,8
Lake Hennessey,8/22/03,8,4,6,2003,8,8
Stag's Leap,8/22/03,7,4,6,2003,8,8
Veterans' Home,8/22/03,9,5,6,2003,8,8
Wappo Hill,8/22/03,8,4,6,2003,8,8
Veterans' Home,4/8/04,1,1,2,2004,4,
Veterans' Home,4/30/04,2,1,2,2004,4,
Veterans' Home,5/14/04,3,2,3,2004,5,
Veterans' Home,6/11/04,4,2,4,2004,6,
Veterans' Home,6/25/04,5,3,4,2004,6,
Veterans' Home,7/12/04,6,3,5,2004,7,
Veterans' Home,7/22/04,7,4,5,2004,7,
Veterans' Home,8/5/04,8,4,6,2004,8,
Veterans' Home,9/6/04,9,5,7,2004,9,
Veterans' Home,9/20/04,10,5,7,2004,9,
Chateau St. Jean /Watmaugh Rd.,9/16/02,11,6,6,2002,9,9
Bouverie Preserve,9/16/02,11,6,6,2002,9,9
Kunde,9/16/02,9,5,6,2002,9,9
Veterans' Home,9/20/02,12,6,6,2002,9,9
Lake Hennessey,9/20/02,12,6,6,2002,9,9
Quintessa,9/20/02,14,7,6,2002,9,9
Hudson,9/21/02,11,6,6,2002,9,9
Saintsbury,9/21/02,13,7,6,2002,9,9
Rector Resevoir,9/29/02,12,6,6,2002,9,9
Stag's Leap,9/29/02,10,5,6,2002,9,9
Wappo Hill,9/29/02,11,6,6,2002,9,9
Stag's Leap,9/13/03,8,4,7,2003,9,9
Veterans' Home,9/13/03,10,5,7,2003,9,9
Wappo Hill,9/13/03,9,5,7,2003,9,9
Hudson,9/18/03,9,5,7,2003,9,9
Goode,9/18/03,9,5,7,2003,9,9
Saintsbury,9/18/03,10,5,7,2003,9,9
Kunde,9/19/03,9,5,7,2003,9,9
Chateau St. Jean /Watmaugh Rd.,9/19/03,10,5,7,2003,9,9
Bouverie Preserve,9/19/03,10,5,7,2003,9,9
Wappo Hill,4/22/04,1,1,2,2004,4,
Wappo Hill,5/5/04,2,1,3,2004,5,
Wappo Hill,5/21/04,3,2,3,2004,5,
Wappo Hill,6/4/04,4,2,4,2004,6,
Wappo Hill,6/18/04,5,3,4,2004,6,
Wappo Hill,7/2/04,6,3,5,2004,7,
Wappo Hill,7/15/04,7,4,5,2004,7,
Wappo Hill,7/29/04,8,4,5,2004,7,
Wappo Hill,9/6/04,9,5,7,2004,9,
