ID,SiteName,Conditions id,date,month,day,year,event,std event
203,Lake Hennessey,291,8/22/03,8,22,2003,8,11
204,Lake Hennessey,546,3/24/04,3,24,2004,1,1
205,Lake Hennessey,693,3/24/04,3,24,2004,1,1
206,Lake Hennessey,699,4/8/04,4,8,2004,2,2
207,Lake Hennessey,550,4/8/04,4,8,2004,2,2
208,Lake Hennessey,559,4/30/04,4,30,2004,3,3
209,Lake Hennessey,708,4/30/04,4,30,2004,3,3
210,Quintessa,57,4/19/02,4,19,2002,4,3
211,Quintessa,37,5/3/02,5,3,2002,5,4
212,,,,,,,,
213,Quintessa,32,5/23/02,5,23,2002,6,5
214,Quintessa,121,6/7/02,6,7,2002,7,6
215,Quintessa,133,6/18/02,6,18,2002,8,7
216,Quintessa,104,7/2/02,7,2,2002,9,8
217,Quintessa,142,7/17/02,7,17,2002,10,9
218,Quintessa,173,7/29/02,7,29,2002,11,
219,Quintessa,158,8/19/02,8,19,2002,12,11
220,Quintessa,179,8/30/02,8,30,2002,13,
221,Quintessa,186,9/20/02,9,20,2002,14,12
222,Quintessa,201,4/8/03,4,8,2003,1,2
223,Quintessa,218,5/9/03,5,9,2003,2,4
224,Quintessa,229,5/23/03,5,23,2003,3,5
225,Quintessa,240,6/18/03,6,18,2003,4,7
226,Quintessa,258,7/2/03,7,2,2003,5,8
227,Quintessa,272,7/18/03,7,18,2003,6,9
228,Quintessa,283,8/1/03,8,1,2003,7,10
229,Quintessa,292,8/22/03,8,22,2003,8,11
230,Quintessa,688,3/18/04,3,18,2004,1,1
231,Quintessa,541,3/18/04,3,18,2004,1,1
232,Quintessa,701,4/8/04,4,8,2004,2,2
233,Quintessa,552,4/8/04,4,8,2004,2,2
234,Quintessa,709,4/30/04,4,30,2004,3,3
235,Quintessa,560,4/30/04,4,30,2004,3,3
236,Quintessa,722,5/14/04,5,14,2004,4,5
237,Quintessa,729,5/28/04,5,28,2004,5,
238,Quintessa,737,6/11/04,6,11,2004,6,6
239,Quintessa,750,6/25/04,6,25,2004,7,7
240,Quintessa,761,7/12/04,7,12,2004,8,8
241,Quintessa,770,7/22/04,7,22,2004,9,9
242,Quintessa,778,8/5/04,8,5,2004,10,10
243,Quintessa,788,8/19/04,8,19,2004,11,11
244,Quintessa,789,9/3/04,9,3,2004,12,12
245,Quintessa,801,9/16/04,9,16,2004,13,
246,Rector Resevoir,60,3/28/02,3,28,2002,1,1
247,Rector Resevoir,49,4/19/02,4,19,2002,2,3
248,Rector Resevoir,29,5/3/02,5,3,2002,3,4
249,Rector Resevoir,46,5/22/02,5,22,2002,4,5
250,Rector Resevoir,117,6/3/02,6,3,2002,5,6
251,Rector Resevoir,135,6/20/02,6,20,2002,6,7
252,Rector Resevoir,103,7/1/02,7,1,2002,7,8
253,Rector Resevoir,140,7/16/02,7,16,2002,8,9
254,Rector Resevoir,174,7/29/02,7,29,2002,9,9
255,Rector Resevoir,159,8/19/02,8,19,2002,10,11
256,Rector Resevoir,181,8/30/02,8,30,2002,11,
257,Rector Resevoir,194,9/29/02,9,29,2002,12,12
258,Rector Resevoir,203,4/11/03,4,11,2003,1,2
259,Saintsbury,6,3/26/02,3,26,2002,2,1
260,Saintsbury,15,3/26/02,3,26,2002,2,1
261,Saintsbury,23,4/12/02,4,12,2002,4,2
262,Saintsbury,47,4/12/02,4,12,2002,4,2
263,Saintsbury,48,4/18/02,4,18,2002,5,3
264,Saintsbury,41,4/18/02,4,18,2002,5,3
265,Saintsbury,36,5/2/02,5,2,2002,6,4
266,Saintsbury,51,5/17/02,5,17,2002,7,5
267,Saintsbury,118,6/4/02,6,4,2002,8,6
268,Saintsbury,126,6/14/02,6,14,2002,9,
269,Saintsbury,101,6/27/02,6,27,2002,10,7
270,Saintsbury,113,7/10/02,7,10,2002,11,8
271,Saintsbury,147,7/26/02,7,26,2002,12,9
272,Saintsbury,157,8/7/02,8,7,2002,13,10
273,Saintsbury,165,8/22/02,8,22,2002,14,11
274,Saintsbury,189,9/21/02,9,21,2002,15,12
275,Saintsbury,192,3/18/03,3,18,2003,1,1
276,Saintsbury,207,4/19/03,4,19,2003,2,3
277,Saintsbury,223,5/16/03,5,16,2003,3,5
278,Saintsbury,236,5/30/03,5,30,2003,4,
279,Saintsbury,237,6/3/03,6,3,2003,5,6
280,Saintsbury,246,6/24/03,6,24,2003,6,7
281,Saintsbury,261,7/9/03,7,9,2003,7,8
282,Saintsbury,275,7/23/03,7,23,2003,8,9
283,Saintsbury,286,8/14/03,8,14,2003,9,10
284,Saintsbury,303,9/18/03,9,18,2003,10,12
285,Saintsbury,539,3/16/04,3,16,2004,1,1
286,Saintsbury,686,3/16/04,3,16,2004,1,1
287,Saintsbury,547,4/6/04,4,6,2004,2,2
288,Saintsbury,710,5/4/04,5,4,2004,3,4
289,Saintsbury,730,6/1/04,6,1,2004,4,
290,Saintsbury,741,6/11/04,6,11,2004,5,6
291,Saintsbury,747,6/23/04,6,23,2004,6,7
292,Saintsbury,757,7/8/04,7,8,2004,7,8
293,Saintsbury,767,7/21/04,7,21,2004,8,9
294,Saintsbury,781,8/6/04,8,6,2004,9,10
295,Saintsbury,796,9/9/04,9,9,2004,10,12
296,Saintsbury,808,10/4/04,10,4,2004,11,13
297,Saintsbury,724,5/14/04,5,14,2004,1,5
298,Stag's Leap,24,5/6/02,5,6,2002,2,4
299,Stag's Leap,33,5/24/02,5,24,2002,3,5
300,Stag's Leap,130,6/7/02,6,7,2002,4,6
301,Stag's Leap,129,6/17/02,6,17,2002,5,7
302,Stag's Leap,106,7/3/02,7,3,2002,6,8
303,Stag's Leap,137,7/15/02,7,15,2002,7,9
304,Stag's Leap,177,7/31/02,7,31,2002,8,9
305,Stag's Leap,153,8/12/02,8,12,2002,9,10
306,Stag's Leap,171,8/26/02,8,26,2002,10,11
307,Stag's Leap,169,8/26/02,8,26,2002,10,11
308,Stag's Leap,195,9/29/02,9,29,2002,11,12
309,Stag's Leap,215,5/9/03,5,9,2003,1,4
310,Stag's Leap,230,5/23/03,5,23,2003,2,5
311,Stag's Leap,242,6/18/03,6,18,2003,3,7
312,Stag's Leap,255,7/1/03,7,1,2003,4,
313,Stag's Leap,264,7/11/03,7,11,2003,5,8
314,Stag's Leap,277,7/25/03,7,25,2003,6,9
315,Stag's Leap,297,8/22/03,8,22,2003,7,11
316,Stag's Leap,298,9/13/03,9,13,2003,8,12
317,Stag's Leap,692,3/24/04,3,24,2004,1,1
318,Stag's Leap,545,3/24/04,3,24,2004,1,1
319,Stag's Leap,555,4/23/04,4,23,2004,2,3
320,Stag's Leap,704,4/23/04,4,23,2004,2,3
321,Stag's Leap,713,5/5/04,5,5,2004,3,4
322,Stag's Leap,727,5/21/04,5,21,2004,4,5
323,Stag's Leap,734,6/4/04,6,4,2004,5,6
324,Stag's Leap,746,6/18/04,6,18,2004,6,7
325,Stag's Leap,753,7/2/04,7,2,2004,7,8
326,Stag's Leap,763,7/15/04,7,15,2004,8,
327,Stag's Leap,774,7/29/04,7,29,2004,9,9
328,Stag's Leap,787,8/19/04,8,19,2004,10,11
329,Stag's Leap,790,9/3/04,9,3,2004,11,12
330,Stag's Leap,800,9/16/04,9,16,2004,12,
331,Veterans' Home,16,3/26/02,3,26,2002,1,1
332,Veterans' Home,42,4/19/02,4,19,2002,2,3
333,Veterans' Home,53,5/3/02,5,3,2002,3,4
334,Veterans' Home,12,5/22/02,5,22,2002,4,5
335,Veterans' Home,116,6/3/02,6,3,2002,5,6
336,Veterans' Home,134,6/20/02,6,20,2002,6,7
337,Veterans' Home,102,7/1/02,7,1,2002,7,8
338,Veterans' Home,139,7/16/02,7,16,2002,8,9
339,Veterans' Home,176,7/31/02,7,31,2002,9,
340,Veterans' Home,152,8/12/02,8,12,2002,10,10
341,Veterans' Home,167,8/26/02,8,26,2002,11,11
342,Veterans' Home,188,9/20/02,9,20,2002,12,12
343,Veterans' Home,204,4/11/03,4,11,2003,1,2
344,Veterans' Home,214,5/9/03,5,9,2003,2,4
345,Veterans' Home,231,5/23/03,5,23,2003,3,5
346,Veterans' Home,238,6/15/03,6,15,2003,4,
347,Veterans' Home,250,6/24/03,6,24,2003,5,7
348,Veterans' Home,262,7/11/03,7,11,2003,6,8
349,Veterans' Home,276,7/25/03,7,25,2003,7,9
350,Veterans' Home,294,8/8/03,8,8,2003,8,10
351,Veterans' Home,295,8/22/03,8,22,2003,9,11
352,Veterans' Home,299,9/13/03,9,13,2003,10,12
353,Veterans' Home,685,3/16/04,3,16,2004,1,1
354,Veterans' Home,538,3/16/04,3,16,2004,1,1
355,Veterans' Home,551,4/8/04,4,8,2004,2,2
356,Veterans' Home,700,4/8/04,4,8,2004,2,2
357,Veterans' Home,707,4/30/04,4,30,2004,3,3
358,Veterans' Home,558,4/30/04,4,30,2004,3,3
359,Veterans' Home,723,5/14/04,5,14,2004,4,5
360,Veterans' Home,728,5/28/04,5,28,2004,5,
361,Veterans' Home,738,6/11/04,6,11,2004,6,6
362,Veterans' Home,751,6/25/04,6,25,2004,7,7
363,Veterans' Home,760,7/12/04,7,12,2004,8,8
364,Veterans' Home,769,7/22/04,7,22,2004,9,9
365,Veterans' Home,777,8/5/04,8,5,2004,10,10
366,Veterans' Home,786,8/19/04,8,19,2004,11,11
367,Veterans' Home,793,9/6/04,9,6,2004,12,12
368,Veterans' Home,802,9/20/04,9,20,2004,13,13
369,Wappo Hill,58,5/10/02,5,10,2002,1,4
370,Wappo Hill,5,5/24/02,5,24,2002,2,5
371,Wappo Hill,131,6/7/02,6,7,2002,3,6
372,Wappo Hill,138,6/12/02,6,12,2002,4,
373,Wappo Hill,128,6/17/02,6,17,2002,5,7
374,Wappo Hill,107,7/3/02,7,3,2002,6,8
375,Wappo Hill,136,7/15/02,7,15,2002,7,9
376,Wappo Hill,178,7/31/02,7,31,2002,8,
377,Wappo Hill,154,8/12/02,8,12,2002,9,10
378,Wappo Hill,168,8/26/02,8,26,2002,10,11
379,Wappo Hill,196,9/29/02,9,29,2002,11,12
380,Wappo Hill,202,4/11/03,4,11,2003,1,2
381,Wappo Hill,216,5/9/03,5,9,2003,2,4
382,Wappo Hill,232,5/23/03,5,23,2003,3,5
383,Wappo Hill,241,6/18/03,6,18,2003,4,7
384,Wappo Hill,254,7/1/03,7,1,2003,5,
385,Wappo Hill,263,7/11/03,7,11,2003,6,8
386,Wappo Hill,278,7/25/03,7,25,2003,7,9
387,Wappo Hill,296,8/22/03,8,22,2003,8,11
388,Wappo Hill,300,9/13/03,9,13,2003,9,12
389,Wappo Hill,554,4/22/04,4,22,2004,1,3
390,Wappo Hill,703,4/22/04,4,22,2004,1,3
391,Wappo Hill,715,5/5/04,5,5,2004,2,4
392,Wappo Hill,726,5/21/04,5,21,2004,3,5
393,Wappo Hill,736,6/4/04,6,4,2004,4,6
394,Wappo Hill,745,6/18/04,6,18,2004,5,7
395,Wappo Hill,754,7/2/04,7,2,2004,6,8
396,Wappo Hill,764,7/15/04,7,15,2004,7,
397,Wappo Hill,773,7/29/04,7,29,2004,8,9
398,Wappo Hill,783,8/10/04,8,10,2004,9,10
399,Wappo Hill,792,9/6/04,9,6,2004,10,12
400,Wappo Hill,799,9/16/04,9,16,2004,11,13
