Conditionsid,SiteID,date,samplenumber,bowlst,bowlfin,firstnet,secndnet,WindAM,WindPM,CloudsAM,CloudsPM,tempfirstnet,tempsecondnet,FieldCollectionNotes,FLAG,sunrise,Hightemp,Lowtemp
853,MCLA,6/30/05,,,,,,1,1,5-25% cover,5-25% cover,68.4,62.8,,,,,
852,INDI,6/30/05,,,,,,1,1,Clear,Clear,70.4,68.2,,,,,
851,GRAN,6/29/05,,,,,,1,1,25-45% cover,25-45% cover,64.7,63.8,,,,,
850,GLEN,6/29/05,,,,,,1,1,5-25% cover,Clear,62.1,65.8,,,,,
849,BAYV,6/23/05,,,,,,1,1,over 50%,25-45% cover,64.1,66.5,,,,,
848,PINE,6/22/05,,,,,,0,0,over 50%,over 50%,60.1,63,,,,,
847,DAVI,6/22/05,,,,,,0,0,over 50%,5-25% cover,65.1,69.2,,,,,
846,BUEN,6/15/05,,,,,,0,0,Clear,5-25% cover,63.7,63,,,,,
845,TWIN,6/13/05,,,,,,0,1,Clear,Clear,81.1,68.1,,,,,
844,OSHA,6/13/05,,,,,,0,1,Clear,Clear,80,71.3,,,,,
843,BILL,6/11/05,,,,,,1,1,Clear,Clear,68.8,62.8,,,,,
842,CORO,6/10/05,,,,,,0,1,Clear,Clear,66.5,61.5,,,,,
841,BERN,6/10/05,,,,,,1,2,over 50%,over 50%,67.1,62.9,,,,,
840,Hawk,6/5/05,,,,,,1,2,Clear,Clear,59.2,59.9,,,,,
839,BROO,6/5/05,,,,,,1,1,5-25% cover,Clear,58.9,59.3,,,,,
899,TWIN,5/31/05,,,,,,,,,,0,0,PM netting only see 14 May #828 for morning conditions,,,,
838,INDI,5/31/05,,,,,,0,1,25-45% cover,5-25% cover,69.5,72.7,,,,,
837,BAYV,5/31/05,,,,,,1,1,5-25% cover,Clear,67.7,72.3,,,,,
836,PINE,5/30/05,,,,,,0,1,over 50%,5-25% cover,60.1,64.5,,,,,
835,OSHA,5/30/05,,,,,,0,0,Clear,Clear,73.1,69.3,,,,,
834,BUEN,5/27/05,,,,,,0,1,over 50%,over 50%,59.3,59.9,,,,,
832,GRAN,5/22/05,,,,,,0,2,Clear,Clear,63.8,65.3,,,,,
833,Hawk,5/22/05,,,,,,1,1,Clear,Clear,63.7,64.7,,,,,
831,MCLA,5/21/05,,,,,,0,0,Clear,Clear,65.3,65.3,,,,,
830,CORO,5/20/05,,,,,,0,0,Clear,Clear,64.3,70.9,,,,,
829,BERN,5/20/05,,,,,,0,0,Clear,Clear,67.2,70.3,,,,,
828,TWIN,5/14/05,,,,,,1,,over 50%,,63.3,0,Bowls and AM collection only see 31 may ID#,,,,
827,GLEN,5/14/05,,,,,,0,1,over 50%,over 50%,66.9,66.4,,,,,
826,BILL,5/13/05,,,,,,0,0,over 50%,25-45% cover,66.3,66.1,,,,,
825,BROO,5/11/05,,,,,,0,0,Clear,5-25% cover,72.8,67.5,,,,,
824,DAVI,5/7/05,,,,,,0,0,5-25% cover,5-25% cover,74.4,65.5,,,,,
823,BERN,4/29/05,,,,,,0,1,25-45% cover,5-25% cover,67.9,67.9,,,,,
822,CORO,4/26/05,,,,,,0,0,over 50%,5-25% cover,73.7,71,,,,,
821,BUEN,4/26/05,,,,,,0,0,over 50%,5-25% cover,59.2,73.4,,,,,
820,GRAN,4/25/05,,,,,,0,0,25-45% cover,25-45% cover,60.9,60.9,,,,,
818,Hawk,4/22/05,,,,,,0,1,Clear,over 50%,67.2,65.7,,,,,
819,PINE,4/22/05,,,,,,0,0,Clear,over 50%,74.5,67.5,,,,,
817,MCLA,4/20/05,,,,,,1,0,5-25% cover,5-25% cover,62.5,71.1,,,,,
816,INDI,4/17/05,,,,,,1,1,5-25% cover,5-25% cover,61.5,68.5,,,,,
815,BAYV,4/17/05,,,,,,1,1,5-25% cover,Clear,65.9,81.5,,,,,
814,OSHA,4/15/05,,,,,,0,1,Clear,5-25% cover,70.6,64.7,,,,,
813,GLEN,4/15/05,,,,,,1,1,Clear,5-25% cover,76.7,62.5,,,,,
812,TWIN,4/9/05,,,,,,1,1,5-25% cover,5-25% cover,61,60.5,,,,,
811,DAVI,4/2/05,,,,,,1,1,25-45% cover,5-25% cover,63.7,61.4,,,,,
810,BROO,4/1/05,,,,,,1,1,5-25% cover,5-25% cover,67.5,72.3,,,,,
809,BILL,3/31/05,,,,,,0,0,Clear,Clear,70.5,70.5,,,,,
807,Hudson,10/4/04,,8:28:00 AM,5:25:00 PM,,,0,1,Morning Fog,Clear,54.1,67.2,,,,,
806,Chateau St. Jean,10/4/04,,7:46:00 AM,4:21:00 PM,,,0,1,Morning Fog,Clear,53,68.3,,,,,
808,Saintsbury,10/4/04,,8:51:00 AM,5:01:00 PM,,,0,1,Morning Fog,Clear,56.1,69.6,,,,,
805,Bouverie Preserve,9/29/04,,8:24:00 AM,5:00:00 PM,,,0,1,Clear,Clear,50.2,77.5,,,,,
804,Goode,9/27/04,,7:39:00 AM,4:27:00 PM,,,0,2,Clear,Clear,47.4,68.7,,,,,
803,Kelham,9/20/04,,8:44:00 AM,3:31:00 PM,,,0,1,Clear,Clear,65.3,79.7,,,,,
802,Veteran's Home,9/20/04,,8:11:00 AM,4:00:00 PM,,,1,1,Clear,Clear,54.2,73,,,,,
801,Quintessa,9/16/04,,7:29:00 AM,4:32:00 PM,,,0,1,Clear,Clear,60.4,91.3,,,,,
799,Wappo Hill,9/16/04,,8:03:00 AM,5:00:00 PM,,,0,1,Clear,Clear,66.2,88.3,,,,,
800,Stag's Leap,9/16/04,,6:56:00 AM,3:54:00 PM,,,,0,Clear,Clear,61.4,92.7,,,,,
798,Goode,9/13/04,,8:16:00 AM,5:43:00 PM,,,0,1,Clear,Clear,62.3,75.9,,,,,
797,Bouverie Preserve,9/10/04,,8:28:00 AM,5:00:00 PM,,,0,0,Clear,Clear,55.6,98.2,,,,,
796,Saintsbury,9/9/04,,8:43:00 AM,4:46:00 PM,,,0,1,Clear,Clear,63.7,95.6,,,,,
795,Hudson,9/9/04,,8:19:00 AM,4:22:00 PM,,,0,2,Clear,Clear,74.6,83.8,,,,,
794,Chateau St. Jean,9/9/04,,7:20:00 AM,5:21:00 PM,,,0,1,Clear,Clear,63,84.2,,,,,
793,Veteran's Home,9/6/04,,7:37:00 AM,3:50:00 PM,,,0,1,Clear,Clear,63.6,102,,,,,
792,Wappo Hill,9/6/04,,8:52:00 AM,4:19:00 PM,,,0,1,Clear,Clear,75.4,103.1,,,,,
791,Kelham,9/6/04,,8:15:00 AM,3:22:00 PM,,,0,1,Clear,Clear,67.6,100.7,,,,,
790,Stag's Leap,9/3/04,,8:02:00 AM,4:14:00 PM,,,1,1,Clear,Clear,71.7,97,,,,,
789,Quintessa,9/3/04,,8:10:00 AM,3:36:00 PM,,,1,1,Clear,Clear,73.3,86.8,,,,,
788,Quintessa,8/19/04,,9:00:00 AM,,,,0,,Morning Fog,,62,,,,,,
787,Stag's Leap,8/19/04,,8:30:00 AM,,,,0,,Morning Fog,,69,,,,,,
786,Veteran's Home,8/19/04,,7:40:00 AM,,,,0,,Morning Fog,,65,,,,,,
784,Goode,8/13/04,,8:40:00 AM,3:11:00 PM,,,0,1,Morning Fog,Clear,60.1,94.1,,,,,
785,Bouverie Preserve,8/13/04,,9:30:00 AM,4:17:00 PM,,,0,1,Clear,Clear,63,84.1,,,,,
782,Kelham,8/10/04,,8:04:00 AM,4:10:00 PM,,,0,1,Morning Fog,Clear,58.6,94,,,,,
783,Wappo Hill,8/10/04,,8:50:00 AM,3:25:00 PM,,,1,1,Morning Fog,Clear,62,88.1,,,,,
781,Saintsbury,8/6/04,,9:00:00 AM,4:30:00 AM,,,0,1,Clear,Clear,62,81.1,,,,,
780,Hudson,8/6/04,,9:30:00 AM,4:00:00 PM,,,1,2,Clear,Clear,70,76.8,,,,,
779,Chateau St. Jean,8/6/04,,7:30:00 AM,3:10:00 PM,,,0,2,Morning Fog,Clear,63.4,80,,,,,
778,Quintessa,8/5/04,,8:20:00 AM,3:15:00 PM,,,0,1,Morning Fog,5-25% cover,57.2,85.4,,,,,
777,Veteran's Home,8/5/04,,9:00:00 AM,3:55:00 AM,,,1,0,Clear,5-25% cover,65.2,85.6,,,,,
776,Bouverie Preserve,7/30/04,,8:15:00 AM,3:25:00 PM,,,0,1,Morning Fog,Clear,58.2,82,,,,,
775,Goode,7/30/04,,9:00:00 AM,4:06:00 PM,,,1,1,Morning Fog,Clear,58.1,84.4,,,,,
773,Wappo Hill,7/29/04,,7:50:00 AM,4:27:00 PM,,,1,1,Morning Fog,Clear,59.5,77.3,,,,,
772,Kelham,7/29/04,,7:10:00 AM,3:30:00 PM,,,0,1,Morning Fog,Clear,60.4,83.1,,,,,
774,Stag's Leap,7/29/04,,8:21:00 AM,4:04:00 PM,,,0,0,Morning Fog,Clear,60.1,87.4,,,,,
771,Chateau St. Jean,7/27/04,,8:45:00 AM,3:41:00 PM,,,0,1,Morning Fog,Clear,66.2,81.6,,,,,
770,Quintessa,7/22/04,,8:19:00 AM,3:07:00 PM,,,0,1,Morning Fog,Clear,62.2,88.1,,,,,
769,Veteran's Home,7/22/04,,8:54:00 AM,3:42:00 AM,,,0,1,Morning Fog,Clear,63.8,85.1,,,,,
767,Saintsbury,7/21/04,,7:55:00 AM,3:45:00 PM,,,0,1,Morning Fog,Clear,64.5,91,,,,,
768,Hudson,7/21/04,,7:32:00 AM,3:15:00 PM,,,0,1,Morning Fog,Clear,60.1,87.8,,,,,
765,Goode,7/16/04,,9:03:00 AM,3:23:00 PM,,,0,1,Clear,Clear,70.6,87.9,,,,,
766,Bouverie Preserve,7/16/04,,8:25:00 AM,4:09:00 PM,,,0,1,5-25% cover,5-25% cover,66.8,95.3,,,,,
764,Wappo Hill,7/15/04,,7:54:00 AM,3:46:00 PM,,,0,1,Clear,Clear,66.2,93.8,,,,,
763,Stag's Leap,7/15/04,,8:39:00 AM,3:17:00 PM,,,0,1,Clear,Clear,68.3,94.6,,,,,
762,Kelham,7/15/04,,9:20:00 AM,4:30:00 PM,,,0,0,Clear,Clear,72.8,95.8,,,,,
761,Quintessa,7/12/04,,8:39:00 AM,3:06:00 PM,,,0,1,Clear,Clear,59.2,84,,,,,
760,Veteran's Home,7/12/04,,9:03:00 AM,3:37:00 PM,,,0,1,Clear,Clear,61.7,81.3,,,,,
758,Hudson,7/8/04,,8:24:00 AM,3:52:00 PM,,,0,1,Morning Fog,Clear,59.6,77.6,,,,,
757,Saintsbury,7/8/04,,8:59:00 AM,3:24:00 PM,,,0,1,Morning Fog,Clear,63,83.4,,,,,
759,Chateau St. Jean,7/8/04,,7:43:00 AM,4:29:00 PM,,,1,2,Morning Fog,Clear,57.1,74.7,,,,,
756,Bouverie Preserve,7/3/04,,9:25:00 AM,3:59:00 PM,,,1,1,5-25% cover,5-25% cover,65.5,90.3,,,,,
755,Goode,7/2/04,,8:45:00 AM,4:40:00 PM,,,0,1,5-25% cover,5-25% cover,74,87.4,,,,,
754,Wappo Hill,7/2/04,,6:47:00 AM,3:51:00 PM,,,0,0,Morning Fog,5-25% cover,59,80,,,,,
753,Stag's Leap,7/2/04,,7:23:00 AM,4:30:00 PM,,,0,0,Morning Fog,5-25% cover,60,80,,,,,
752,Kelham,7/2/04,,8:09:00 AM,4:20:00 PM,,,0,0,Morning Fog,5-25% cover,65,80,,,,,
751,Veteran's Home,6/25/04,,7:53:00 AM,4:55:00 PM,,,0,1,Clear,Clear,60,80,,,,,
750,Quintessa,6/25/04,,7:05:00 AM,5:30:00 PM,,,0,1,Clear,Clear,55,75,,,,,
748,Hudson,6/23/04,,7:21:00 AM,4:13:00 PM,,,0,1,Morning Fog,Clear,58,74.6,,,,,
747,Saintsbury,6/23/04,,7:40:00 AM,3:45:00 PM,,,0,1,Clear,over 50%,58,78.8,,,,,
749,Chateau St. Jean,6/23/04,,6:22:00 AM,4:53:00 PM,,,0,1,Clear,Clear,55,68.7,,,,,
745,Wappo Hill,6/18/04,,6:33:00 AM,3:55:00 PM,,,0,1,over 50%,Clear,60.4,83.6,,,,,
744,Kelham,6/18/04,,7:58:00 AM,3:17:00 PM,,,0,0,over 50%,Clear,59,84.8,,,,,
746,Stag's Leap,6/18/04,,7:13:00 AM,4:23:00 PM,,,0,1,over 50%,Clear,57.2,82.9,,,,,
743,Bouverie Preserve,6/17/04,,8:38:00 AM,4:11:00 PM,,,0,2,Morning Fog,5-25% cover,60,81,,,,,
742,Goode,6/17/04,,9:12:00 AM,3:21:00 PM,,,0,2,Morning Fog,5-25% cover,60,79,,,,,
739,Hudson,6/11/04,,8:12:00 AM,3:47:00 PM,,,0,1,Clear,Clear,60,85,,,,,
738,Veteran's Home,6/11/04,,7:04:00 AM,3:50:00 PM,,,0,0,Clear,5-25% cover,56.5,88.2,,,,,
740,Chateau St. Jean,6/11/04,,7:12:00 AM,4:30:00 PM,,,0,1,Clear,Clear,66,85,,,,,
741,Saintsbury,6/11/04,,8:45:00 AM,3:18:00 PM,,,0,1,Clear,Clear,60,85,,,,,
737,Quintessa,6/11/04,,6:12:00 AM,3:15:00 PM,,,0,0,Clear,5-25% cover,47.9,88.4,,,,,
736,Wappo Hill,6/4/04,,6:09:00 AM,4:13:00 PM,,,0,1,Morning Fog,5-25% cover,47.5,87.1,,,,,
735,Kelham,6/4/04,,7:40:00 AM,3:35:00 PM,,,0,1,5-25% cover,5-25% cover,59,82.6,,,,,
734,Stag's Leap,6/4/04,,6:53:00 AM,4:50:00 PM,,,0,0,5-25% cover,5-25% cover,53.5,82.2,,,,,
733,Bouverie Preserve,6/4/04,,8:15:00 AM,4:49:00 PM,,,0,1,Clear,Clear,62,85,,,,,
732,Goode,6/4/04,,7:25:00 AM,4:00:00 PM,,,0,2,Clear,5-25% cover,58,83,,,,,
731,Hudson,6/1/04,,7:34:00 AM,3:45:00 PM,,,0,1,Clear,Clear,58.8,84.1,,,,,
730,Saintsbury,6/1/04,,8:05:00 AM,3:10:00 PM,,,0,1,Clear,Clear,57.1,86.4,,,,,
729,Quintessa,5/28/04,,6:20:00 AM,3:50:00 PM,,,0,0,5-25% cover,Clear,50,85,,,,,
728,Veteran's Home,5/28/04,,6:55:00 AM,3:12:00 PM,,,0,1,5-25% cover,Clear,55,85,,,,,
726,Wappo Hill,5/21/04,,6:15:00 AM,4:15:00 PM,,,0,1,over 50%,5-25% cover,50,85,,,,,
725,Kelham,5/21/04,,8:04:00 AM,3:28:00 PM,,,0,0,over 50%,5-25% cover,55,80,,,,,
727,Stag's Leap,5/21/04,,7:04:00 AM,4:52:00 PM,,,0,1,25-45% cover,5-25% cover,50,77,,,,,
724,Saintsbury,5/14/04,,8:09:00 AM,3:32:00 PM,,,0,2,Clear,Clear,52.3,76.2,,,,,
723,Veteran's Home,5/14/04,,7:07:00 AM,3:15:00 PM,,,0,0,Clear,Clear,50,87,,,,,
722,Quintessa,5/14/04,,6:17:00 AM,4:02:00 PM,,,0,0,Clear,Clear,47.5,90,,,,,
719,Goode,5/12/04,,7:48:00 AM,3:15:00 PM,,,0,2,Clear,Clear,56,76.5,,,,,
721,Bouverie Preserve,5/12/04,,7:14:00 AM,2:48:00 PM,,,0,1,Clear,Clear,49.5,72.8,,,,,
720,Chateau St. Jean,5/12/04,,8:39:00 AM,3:55:00 PM,,,0,2,Morning Fog,Clear,66.1,77.3,,,,,
718,Hudson,5/11/04,,7:45:00 AM,3:34:00 PM,,,1,2,Clear,5-25% cover,56.5,66.5,,,,,
716,Bouverie Preserve,5/7/04,,7:58:00 AM,,,,0,,over 50%,,61.4,,,,,,
717,Goode,5/7/04,,7:06:00 AM,1:00:00 PM,,,0,1,5-25% cover,over 50%,57.4,67.6,,,,,
715,Wappo Hill,5/5/04,,7:30:00 AM,4:30:00 PM,,,0,1,Clear,Clear,55.4,73.6,,,,,
714,Kelham,5/5/04,,8:10:00 AM,3:33:00 PM,,,0,1,Clear,Clear,57.7,75.5,,,,,
713,Stag's Leap,5/5/04,,6:40:00 AM,5:15:00 PM,,,1,1,Clear,Clear,43.8,72.3,,,,,
710,Saintsbury,5/4/04,,7:39:00 AM,4:35:00 PM,,,0,3,Clear,Clear,63,86,,,,,
712,Chateau St. Jean,5/4/04,,8:45:00 AM,3:15:00 PM,,,2,4,Clear,Clear,65,86,,,,,
711,Hudson,5/4/04,,7:09:00 AM,4:05:00 PM,,,0,3,Clear,Clear,60,86,,,,,
559,Lake Hennessey,4/30/04,,6:25:00 AM,4:30:00 PM,,,0,1,Clear,Clear,44.8,85,,,,,
558,Veteran's Home,4/30/04,,7:17:00 AM,3:50:00 PM,,,0,1,Clear,Clear,51.4,82.7,,,,,
560,Quintessa,4/30/04,,8:13:00 AM,3:15:00 PM,,,0,0,Clear,Clear,53.8,83.9,,,,,
709,Quintessa,4/30/04,,8:13:00 AM,3:15:00 PM,,,0,0,Clear,Clear,53.8,83.9,,,,,
707,Veteran's Home,4/30/04,,7:17:00 AM,3:50:00 PM,,,0,1,Clear,Clear,51.4,82.7,,,,,
708,Lake Hennessey,4/30/04,,6:25:00 AM,4:30:00 PM,,,0,1,Clear,Clear,44.8,85,,,,,
706,Bouverie Preserve,4/23/04,,,,,,0,1,Clear,Clear,57,83,,,,,
705,Goode,4/23/04,,8:15:00 AM,3:00:00 PM,,,0,1,Clear,5-25% cover,56,86,,,,,
704,Stag's Leap,4/23/04,,7:20:00 AM,3:30:00 PM,,,1,1,Clear,Clear,62.4,83.3,,,,,
557,Bouverie Preserve,4/23/04,,,,,,0,1,Clear,Clear,57,83,,,,,
555,Stag's Leap,4/23/04,,7:20:00 AM,3:30:00 PM,,,1,1,Clear,Clear,62.4,83.3,,,,,
556,Goode,4/23/04,,8:15:00 AM,3:00:00 PM,,,0,1,Clear,5-25% cover,56,86,,,,,
553,Kelham,4/22/04,,9:25:00 AM,3:20:00 PM,,,2,2,Clear,Clear,0,0,,,,,
703,Wappo Hill,4/22/04,,8:50:00 AM,3:50:00 PM,,,1,1,Clear,Clear,0,0,,,,,
702,Kelham,4/22/04,,9:25:00 AM,3:20:00 PM,,,2,2,Clear,Clear,0,0,,,,,
554,Wappo Hill,4/22/04,,8:50:00 AM,3:50:00 PM,,,1,1,Clear,Clear,0,0,,,,,
552,Quintessa,4/8/04,,7:27:00 AM,4:03:00 PM,,,0,1,Clear,Clear,47.9,79,,,,,
700,Veteran's Home,4/8/04,,8:15:00 AM,4:46:00 PM,,,1,1,,,53.9,73.6,,,,,
551,Veteran's Home,4/8/04,,8:15:00 AM,4:46:00 PM,,,1,1,,,53.9,73.6,,,,,
550,Lake Hennessey,4/8/04,,6:57:00 AM,3:23:00 PM,,,0,1,Clear,Clear,44.7,80.5,,,,,
701,Quintessa,4/8/04,,7:27:00 AM,4:03:00 PM,,,0,1,Clear,Clear,47.9,79,,,,,
699,Lake Hennessey,4/8/04,,6:57:00 AM,3:23:00 PM,,,0,1,Clear,Clear,44.7,80.5,,,,,
698,Hudson,4/6/04,,8:14:00 AM,4:10:00 PM,,,0,1,Clear,Clear,45.5,64.8,,,,,
547,Saintsbury,4/6/04,,8:49:00 AM,5:08:00 PM,,,0,1,Clear,Clear,45.6,65.1,,,,,
549,Hudson,4/6/04,,8:14:00 AM,4:10:00 PM,,,0,1,Clear,Clear,45.5,64.8,,,,,
695,Chateau St. Jean,4/6/04,,9:45:00 AM,3:20:00 PM,,,1,1,Clear,5-25% cover,50.7,63.3,,,,,
548,Chateau St. Jean,4/6/04,,9:45:00 AM,3:20:00 PM,,,1,1,Clear,5-25% cover,50.7,63.3,,,,,
546,Lake Hennessey,3/24/04,,7:16:00 AM,3:15:00 PM,,,1,1,Clear,5-25% cover,47.5,70.5,,,,,
545,Stag's Leap,3/24/04,,8:30:00 AM,3:55:00 PM,,,0,1,Clear,5-25% cover,62.6,72.2,,,,,
693,Lake Hennessey,3/24/04,,7:16:00 AM,3:15:00 PM,,,1,1,Clear,5-25% cover,47.5,70.5,,,,,
692,Stag's Leap,3/24/04,,8:30:00 AM,3:55:00 PM,,,0,1,Clear,5-25% cover,62.6,72.2,,,,,
691,Bouverie Preserve,3/19/04,,8:45:00 AM,3:45:00 PM,,,0,0,Clear,Clear,0,75.9,,,,,
542,Goode,3/19/04,,,,,,0,,Clear,Clear,0,0,,,,,
690,Kunde,3/19/04,,8:10:00 AM,4:34:00 PM,,,0,0,Clear,Clear,0,74.8,,,,,
689,Goode,3/19/04,,,,,,0,,Clear,Clear,0,0,,,,,
688,Quintessa,3/18/04,,8:31:00 AM,3:15:00 PM,,,0,1,Clear,5-25% cover,59.7,83.6,,,,,
541,Quintessa,3/18/04,,8:31:00 AM,3:15:00 PM,,,0,1,Clear,5-25% cover,59.7,83.6,,,,,
687,Chateau St. Jean,3/17/04,,8:30:00 AM,3:30:00 PM,,,0,1,Clear,Clear,64.7,81.9,,,,,
540,Chateau St. Jean,3/17/04,,8:30:00 AM,3:30:00 PM,,,0,1,Clear,Clear,64.7,81.9,,,,,
684,Hudson,3/16/04,,8:00:00 AM,3:15:00 PM,,,1,0,Clear,Clear,77,85.5,,,,,
686,Saintsbury,3/16/04,,8:30:00 AM,3:40:00 PM,,,1,0,Clear,Clear,74.6,88,,,,,
685,Veteran's Home,3/16/04,,9:15:00 AM,4:30:00 PM,,,1,0,Clear,Clear,80.4,86.6,,,,,
539,Saintsbury,3/16/04,,8:30:00 AM,3:40:00 PM,,,1,0,Clear,Clear,74.6,88,,,,,
538,Veteran's Home,3/16/04,,9:15:00 AM,4:30:00 PM,,,1,0,Clear,Clear,80.4,86.6,,,,,
537,Hudson,3/16/04,,8:00:00 AM,3:15:00 PM,,,1,0,Clear,Clear,77,85.5,no netting,,,,
306,Kunde,9/19/03,,7:30:00 AM,4:25:00 PM,,,0,0,,,0,0,,,,,
305,Bouverie Preserve,9/19/03,,8:30:00 AM,3:50:00 PM,,,0,0,,,0,0,,,,,
304,Chateau St. Jean,9/19/03,,9:30:00 AM,5:30:00 PM,,,0,0,,,0,0,,,,,
303,Saintsbury,9/18/03,,7:15:00 AM,5:10:00 PM,,,0,0,,,0,0,,,,,
301,Goode,9/18/03,,9:15:00 AM,6:30:00 PM,,,0,0,,,0,0,,,,,
302,Hudson,9/18/03,,8:15:00 AM,6:00:00 PM,,,0,0,,,0,0,,,,,
300,Wappo Hill,9/13/03,,8:50:00 AM,3:55:00 PM,10:35:00 AM,1:35:00 PM,1,1,Clear,Clear,97,94.5,,,,,
299,Veteran's Home,9/13/03,,8:15:00 AM,4:20:00 PM,11:45:00 AM,12:15:00 PM,1,1,Clear,Clear,94.1,95.3,,,,,
298,Stag's Leap,9/13/03,,9:35:00 AM,3:20:00 PM,9:43:00 AM,2:35:00 PM,1,1,Clear,Clear,91.1,102,,,,,
297,Stag's Leap,8/22/03,,8:55:00 AM,11:27:00 AM,,,0,0,over 50%,,0,0,too cloudy ended early,,,,
296,Wappo Hill,8/22/03,,9:25:00 AM,12:04:00 PM,9:50:00 AM,,1,0,over 50%,,70,0,too cloudy ended early,,,,
295,Veteran's Home,8/22/03,,8:10:00 AM,12:52:00 PM,,,0,0,,,0,0,too cloudy ended early,,,,
292,Quintessa,8/22/03,,9:20:00 AM,3:00:00 AM,9:35:00 AM,2:30:00 PM,0,0,25-45% cover,5-25% cover,71,83.7,Morning cover varied between 5-over 50%.,,,,
291,Lake Hennessey,8/22/03,,8:55:00 AM,3:35:00 PM,10:20:00 AM,1:40:00 PM,0,1,over 50%,5-25% cover,67.5,85.8,Netted in Morning regardless of cloud cover. NO BEES CAUGHT,,,,
