collectionevent,Conditionsid,ampm,technique,color,HostPlant,Host.plant.nosp,Transect
164,92,,netting,,Verbascum thapsus,Verbascum thapsus,
165,93,,netting,,Patrolling,Patrolling,
166,93,,netting,,Cirsium sp.,Cirsium sp.,
167,93,,netting,,Rubus discolor,Rubus discolor,
168,10,,netting,,Trifolium willdenovii,Trifolium willdenovii,
169,20,,netting,,Vicia sativa,Vicia sativa,
170,25,,netting,,Nemophila heterophylla,Nemophila heterophylla,
171,31,,netting,,Lupinus bicolor,Lupinus bicolor,
172,89,,netting,,Nemophila menziesii,Nemophila menziesii,
173,68,,netting,,Ranunculus sp.,Ranunculus californicus,
174,70,,netting,,Ranunculus sp.,Ranunculus sp.,
175,208,,netting,,Cardamine californica,Cardamine californica,
176,208,,netting,,Ranunculus sp.,Ranunculus californicus,
177,209,all day,pan traps,yellow,pantrap,pantrap,T1
178,68,,netting,,Vicia benghalensis,Vicia benghalensis,
179,94,,netting,,Ipomoea purpurea,Ipomoea purpurea,
180,210,all day,pan traps,white,pantrap,pantrap,T2
181,210,all day,pan traps,white,pantrap,pantrap,T1
20006002,900,,,,,,
20020001,2,all day,pan traps,blue,pantrap,pantrap,
20020002,2,all day,pan traps,white,pantrap,pantrap,T2
20020003,2,all day,pan traps,yellow,pantrap,pantrap,T2
20020004,7,AM,netting,,Montia fontana,Montia fontana,
20020005,7,AM,netting,,Patrolling,Patrolling,
20020006,7,PM,netting,,Ranunculus californicus,Ranunculus californicus,
20020007,7,all day,pan traps,yellow,pantrap,pantrap,T2
20020008,7,all day,pan traps,yellow,pantrap,pantrap,T1
20020009,7,all day,pan traps,yellow,pantrap,pantrap,T2
20020010,7,all day,pan traps,white,pantrap,pantrap,T1
20020011,7,all day,pan traps,white,pantrap,pantrap,T2
20020012,7,all day,pan traps,white,pantrap,pantrap,T1
20020013,7,all day,pan traps,white,pantrap,pantrap,T2
20020014,7,all day,pan traps,white,pantrap,pantrap,T2
20020015,7,all day,pan traps,yellow,pantrap,pantrap,T1
20020016,7,all day,pan traps,yellow,pantrap,pantrap,T2
20020017,7,all day,pan traps,white,pantrap,pantrap,T1
20020018,18,all day,netting,,Ranunculus occidentalis,Ranunculus occidentalis,
20020019,18,all day,netting,,Cynoglossum grande,Cynoglossum grande,
20020020,18,all day,netting,,Nemophila heterophylla,Nemophila heterophylla,
20020021,18,all day,netting,,Lupinus nanus,Lupinus nanus,
20020022,18,all day,netting,,Nemophila menziesii,Nemophila menziesii,
20020023,18,all day,netting,,Ranunculus californicus,Ranunculus californicus,
20020024,14,AM,netting,,Patrolling,Patrolling,
20020025,14,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020026,14,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020027,14,AM,netting,,Cardamine californica,Cardamine californica,
20020028,14,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020029,14,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020030,14,PM,netting,,Patrolling,Patrolling,
20020031,14,PM,netting,,Patrolling,Patrolling,
20020032,14,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020033,14,PM,netting,,Ranunculus californicus,Ranunculus californicus,
20020034,14,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020035,14,PM,netting,,Ranunculus californicus,Ranunculus californicus,
20020036,14,all day,pan traps,yellow,pantrap,pantrap,T2
20020037,14,all day,pan traps,white,pantrap,pantrap,T1
20020038,14,all day,pan traps,white,pantrap,pantrap,T2
20020039,14,all day,pan traps,yellow,pantrap,pantrap,T1
20020040,14,all day,pan traps,yellow,pantrap,pantrap,T1
20020041,14,all day,pan traps,blue,pantrap,pantrap,T2
20020042,14,all day,pan traps,white,pantrap,pantrap,T2
20020043,14,all day,pan traps,blue,pantrap,pantrap,T2
20020044,14,all day,pan traps,blue,pantrap,pantrap,T2
20020045,14,all day,pan traps,blue,pantrap,pantrap,T1
20020046,14,all day,pan traps,white,pantrap,pantrap,T2
20020047,14,all day,pan traps,white,pantrap,pantrap,T2
20020048,14,all day,pan traps,white,pantrap,pantrap,T1
20020049,14,all day,pan traps,yellow,pantrap,pantrap,T2
20020050,14,all day,pan traps,blue,pantrap,pantrap,T2
20020051,14,all day,pan traps,yellow,pantrap,pantrap,T2
20020052,14,all day,pan traps,yellow,pantrap,pantrap,T1
20020053,14,all day,pan traps,yellow,pantrap,pantrap,T2
20020054,15,all day,netting,,Ranunculus californicus,Ranunculus californicus,
20020055,15,all day,netting,,Patrolling,Patrolling,
20020056,15,all day,netting,,Ranunculus sp.,Ranunculus californicus,
20020057,15,all day,netting,,Montia fontana,Montia fontana,
20020058,59,all day,netting,,Vicia sativa,Vicia sativa,
20020059,59,all day,netting,,Toxicodendron diversilobum,Toxicodendron diversilobum,
20020060,59,all day,netting,,Patrolling,Patrolling,
20020061,59,all day,netting,,Ranunculus californicus,Ranunculus californicus,
20020062,59,all day,netting,,Ranunculus occidentalis,Ranunculus occidentalis,
20020063,59,all day,netting,,Collinsia heterophylla,Collinsia heterophylla,
20020064,16,AM,netting,,Patrolling,Patrolling,
20020065,16,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020066,16,AM,netting,,Montia montana,Montia montana,
20020067,16,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020068,16,all day,netting,,Patrolling,Patrolling,
20020069,16,PM,netting,,Geranium molle,Geranium molle,
20020070,16,PM,netting,,Ranunculus californicus,Ranunculus californicus,
20020071,16,PM,netting,,Patrolling,Patrolling,
20020072,16,PM,netting,,Patrolling,Patrolling,
20020073,16,PM,netting,,Ranunculus californicus,Ranunculus californicus,
20020074,16,all day,pan traps,white,pantrap,pantrap,T2
20020075,16,all day,pan traps,white,pantrap,pantrap,T1
20020076,16,all day,pan traps,yellow,pantrap,pantrap,T1
20020077,16,all day,pan traps,yellow,pantrap,pantrap,T1
20020078,16,all day,pan traps,yellow,pantrap,pantrap,T2
20020079,16,all day,pan traps,blue,pantrap,pantrap,T2
20020080,16,all day,pan traps,blue,pantrap,pantrap,T2
20020081,16,all day,pan traps,yellow,pantrap,pantrap,T2
20020082,16,all day,pan traps,yellow,pantrap,pantrap,T2
20020083,16,all day,pan traps,blue,pantrap,pantrap,T2
20020084,13,all day,netting,,Plagiobothyrs sp.,Plagiobothrys sp.,
20020085,13,all day,netting,,Marah,Marah,
20020086,13,all day,netting,,Trifolium sp.,Trifolium sp.,
20020087,13,all day,netting,,Sanicula bipinnatifida,Sanicula bipinnatifida,
20020088,13,all day,netting,,Vicia sp.,Vicia sp.,
20020089,13,all day,netting,,Claytonia perfoliata,Claytonia perfoliata,
20020090,13,all day,netting,,Nemophila heterophylla,Nemophila heterophylla,
20020091,13,all day,netting,,Lathyrus vestitus,Lathyrus vestitus,
20020092,13,all day,netting,,on ground,on ground,
20020093,13,all day,netting,,Ranunculus sp.,Ranunculus sp.,
20020094,60,AM,netting,,Vicia sativa,Vicia sativa,
20020095,60,AM,netting,,Patrolling,Patrolling,
20020096,60,AM,netting,,Vicia sp.,,
20020097,60,PM,netting,,Patrolling,Patrolling,
20020098,60,PM,netting,,Lupinus bicolor,Lupinus bicolor,
20020099,60,PM,netting,,Mimulus aurantiacus,Mimulus aurantiacus,
20020100,60,all day,pan traps,white,pantrap,pantrap,T1
20020101,60,all day,pan traps,yellow,pantrap,pantrap,T2
20020102,60,all day,pan traps,yellow,pantrap,pantrap,T2
20020103,60,all day,pan traps,white,pantrap,pantrap,T2
20020104,60,all day,pan traps,yellow,pantrap,pantrap,T1
20020105,60,all day,pan traps,yellow,pantrap,pantrap,T1
20020106,60,all day,pan traps,blue,pantrap,pantrap,T1
20020107,60,all day,pan traps,yellow,pantrap,pantrap,T2
20020108,60,all day,pan traps,yellow,pantrap,pantrap,T2
20020109,60,all day,pan traps,yellow,pantrap,pantrap,T1
20020110,60,all day,pan traps,yellow,pantrap,pantrap,T2
20020111,40,AM,netting,,Lupinus nanus,Lupinus nanus,
20020112,40,AM,netting,,Vicia sativa,Vicia sativa,
20020113,40,AM,netting,,Lasthenia californica,Lasthenia californica,
20020114,40,AM,netting,,Patrolling,Patrolling,
20020115,40,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020116,40,AM,netting,,Nemophila menziesii,Nemophila menziesii,
20020117,40,AM,netting,,Plagiobothrys nothofulvus,Plagiobothrys nothofulvus,
20020118,40,AM,netting,,Trifolium willdenovii,Trifolium willdenovii,
20020119,40,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020120,40,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020121,40,PM,netting,,Plagiobothrys nothofulvus,Plagiobothrys nothofulvus,
20020122,40,PM,netting,,Patrolling,Patrolling,
20020123,40,PM,netting,,Ranunculus californicus,Ranunculus californicus,
20020124,40,PM,netting,,Nemophila menziesii,Nemophila menziesii,
20020125,40,PM,netting,,Lasthenia californica,Lasthenia californica,
20020126,40,all day,pan traps,yellow,pantrap,pantrap,T2
20020127,40,all day,pan traps,blue,pantrap,pantrap,T1
20020128,40,all day,pan traps,white,pantrap,pantrap,T2
20020129,40,all day,pan traps,white,pantrap,pantrap,T2
20020130,40,all day,pan traps,white,pantrap,pantrap,T1
20020131,40,all day,pan traps,yellow,pantrap,pantrap,T2
20020132,40,all day,pan traps,white,pantrap,pantrap,T1
20020133,40,all day,pan traps,white,pantrap,pantrap,T2
20020134,40,all day,pan traps,yellow,pantrap,pantrap,T1
20020135,40,all day,pan traps,white,pantrap,pantrap,T2
20020136,40,all day,pan traps,white,pantrap,pantrap,T1
20020137,40,all day,pan traps,yellow,pantrap,pantrap,T1
20020138,40,all day,pan traps,blue,pantrap,pantrap,T2
20020139,40,all day,pan traps,yellow,pantrap,pantrap,T1
20020140,40,all day,pan traps,yellow,pantrap,pantrap,T2
20020141,40,all day,pan traps,yellow,pantrap,pantrap,T1
20020142,40,all day,pan traps,white,pantrap,pantrap,T2
20020143,40,all day,pan traps,white,pantrap,pantrap,T1
20020144,40,all day,pan traps,white,pantrap,pantrap,T2
20020145,40,all day,pan traps,yellow,pantrap,pantrap,T1
20020146,19,PM,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
20020147,19,PM,netting,,Patrolling,Patrolling,
20020148,19,PM,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
20020149,19,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20020150,19,PM,netting,,Vicia sp.,Vicia benghalensis,
20020151,19,all day,pan traps,blue,pantrap,pantrap,T2
20020152,19,all day,pan traps,white,pantrap,pantrap,T2
20020153,19,all day,pan traps,blue,pantrap,pantrap,T1
20020154,19,all day,pan traps,white,pantrap,pantrap,T1
20020155,19,all day,pan traps,yellow,pantrap,pantrap,T2
20020156,19,all day,pan traps,yellow,pantrap,pantrap,T1
20020157,61,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020158,61,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20020159,61,AM,netting,,Patrolling,Patrolling,
20020160,61,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020161,61,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020162,61,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020163,61,all day,pan traps,yellow,pantrap,pantrap,T2
20020164,61,all day,pan traps,blue,pantrap,pantrap,T2
20020165,61,all day,pan traps,white,pantrap,pantrap,T2
20020166,27,PM,netting,,Vicia sativa,Vicia sativa,
20020167,27,PM,netting,,Patrolling,Patrolling,
20020168,27,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20020169,27,PM,netting,,Patrolling,Patrolling,
20020170,27,all day,pan traps,yellow,pantrap,pantrap,T2
20020171,27,all day,pan traps,white,pantrap,pantrap,T1
20020172,27,all day,pan traps,yellow,pantrap,pantrap,T1
20020173,47,PM,netting,,Patrolling,Patrolling,
20020174,47,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20020175,47,PM,pan traps,white,pantrap,pantrap,T2
20020176,47,PM,pan traps,yellow,pantrap,pantrap,T2
20020177,47,PM,pan traps,white,pantrap,pantrap,T1
20020178,47,PM,pan traps,blue,pantrap,pantrap,T2
20020179,47,PM,pan traps,blue,pantrap,pantrap,T1
20020180,47,PM,pan traps,yellow,pantrap,pantrap,T1
20020181,47,PM,pan traps,,pantrap,pantrap,T1
20020182,17,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020183,17,AM,netting,,Patrolling,Patrolling,
20020184,41,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020185,41,AM,netting,,Patrolling,Patrolling,
20020186,41,AM,pan traps,blue,pantrap,pantrap,T1
20020187,41,AM,pan traps,yellow,pantrap,pantrap,T2
20020188,41,AM,pan traps,yellow,pantrap,pantrap,T1
20020189,41,AM,pan traps,blue,pantrap,pantrap,T2
20020190,41,AM,pan traps,white,pantrap,pantrap,T2
20020191,34,AM,netting,,Patrolling,Patrolling,
20020192,34,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20020193,34,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20020194,34,PM,netting,,Patrolling,Patrolling,
20020195,34,PM,netting,,Phacelia californica,Phacelia californica,
20020196,34,PM,netting,,Patrolling,Patrolling,
20020197,34,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20020198,34,all day,pan traps,blue,pantrap,pantrap,T1
20020199,34,all day,pan traps,yellow,pantrap,pantrap,T1
20020200,34,all day,pan traps,yellow,pantrap,pantrap,T2
20020201,34,all day,pan traps,white,pantrap,pantrap,T2
20020202,34,all day,pan traps,white,pantrap,pantrap,T1
20020203,57,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20020204,57,PM,netting,,Dichelostemma capitatum,Dichelostemma capitatum,
20020205,57,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20020206,57,PM,netting,,Dichelostemma capitatum,Dichelostemma capitatum,
20020207,57,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20020208,57,all day,pan traps,yellow,pantrap,pantrap,T1
20020209,57,all day,pan traps,blue,pantrap,pantrap,T1
20020210,57,all day,pan traps,blue,pantrap,pantrap,T2
20020211,57,all day,pan traps,white,pantrap,pantrap,T2
20020212,57,all day,pan traps,yellow,pantrap,pantrap,T2
20020213,57,all day,pan traps,white,pantrap,pantrap,T1
20020214,49,all day,pan traps,blue,pantrap,pantrap,T1
20020215,49,all day,pan traps,white,pantrap,pantrap,T2
20020216,49,all day,pan traps,white,pantrap,pantrap,T1
20020217,49,all day,pan traps,yellow,pantrap,pantrap,T1
20020218,49,all day,pan traps,yellow,pantrap,pantrap,T2
20020219,42,all day,pan traps,yellow,pantrap,pantrap,T1
20020220,42,all day,pan traps,blue,pantrap,pantrap,T1
20020221,42,all day,pan traps,white,pantrap,pantrap,T1
20020222,42,all day,pan traps,blue,pantrap,pantrap,T2
20020223,42,all day,pan traps,white,pantrap,pantrap,T2
20020224,42,all day,pan traps,yellow,pantrap,pantrap,T2
20020225,8,AM,netting,,Patrolling,Patrolling,
20020226,8,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020227,8,AM,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
20020228,8,AM,netting,,Patrolling,Patrolling,
20020229,8,PM,netting,,Patrolling,Patrolling,
20020230,8,PM,netting,,Patrolling,Patrolling,
20020231,8,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20020232,8,PM,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
20020233,8,PM,netting,,Plectritis congesta,Plectritis congesta,
20020234,8,all day,pan traps,white,pantrap,pantrap,T1
20020235,8,all day,pan traps,white,pantrap,pantrap,T2
20020236,8,all day,pan traps,blue,pantrap,pantrap,T2
20020237,8,all day,pan traps,yellow,pantrap,pantrap,T2
20020238,8,all day,pan traps,yellow,pantrap,pantrap,T1
20020239,50,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020240,50,AM,netting,,Wyethia angustifolia,Wyethia angustifolia,
20020241,50,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020242,50,AM,netting,,Camissonia ovata,Camissonia ovata,
20020243,50,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020244,50,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020245,50,PM,netting,,Patrolling,Patrolling,
20020246,50,PM,netting,,Geranium dissectum,Geranium dissectum,
20020247,50,PM,netting,,Ranunculus californicus,Ranunculus californicus,
20020248,50,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20020249,50,PM,netting,,Patrolling,Patrolling,
20020250,50,PM,netting,,Clarkia amoena,Clarkia amoena,
20020251,50,PM,netting,,Sisyrinchium bellum,Sisyrinchium bellum,
20020252,50,PM,netting,,Lupinus nanus,Lupinus nanus,
20020253,50,all day,pan traps,blue,pantrap,pantrap,T2
20020254,50,all day,pan traps,yellow,pantrap,pantrap,T1
20020255,50,all day,pan traps,blue,pantrap,pantrap,T1
20020256,50,all day,pan traps,white,pantrap,pantrap,T2
20020257,50,all day,pan traps,yellow,pantrap,pantrap,T2
20020258,35,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20020259,35,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20020260,35,all day,pan traps,white,pantrap,pantrap,T2
20020261,35,all day,pan traps,blue,pantrap,pantrap,T1
20020262,35,all day,pan traps,yellow,pantrap,pantrap,T1
20020263,35,all day,pan traps,yellow,pantrap,pantrap,T2
20020264,35,all day,pan traps,white,pantrap,pantrap,T1
20020265,36,all day,pan traps,yellow,pantrap,pantrap,T1
20020266,36,all day,pan traps,yellow,pantrap,pantrap,T2
20020267,36,all day,pan traps,white,pantrap,pantrap,T1
20020268,36,all day,pan traps,white,pantrap,pantrap,T2
20020269,36,all day,pan traps,blue,pantrap,pantrap,T1
20020270,36,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020271,36,AM,netting,,Patrolling,Patrolling,
20020272,36,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20020273,36,PM,netting,,Ranunculus californicus,Ranunculus californicus,
20020274,36,PM,netting,,Patrolling,Patrolling,
20020275,9,all day,pan traps,yellow,pantrap,pantrap,T1
20020276,9,all day,pan traps,white,pantrap,pantrap,T1
20020277,9,AM,netting,,Ranunculus californicus,Ranunculus californicus,
20020278,9,PM,netting,,Ranunculus californicus,Ranunculus californicus,
20020279,9,PM,netting,,Patrolling,Patrolling,
20020280,9,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20020281,53,all day,pan traps,yellow,pantrap,pantrap,T1
20020282,53,all day,pan traps,yellow,pantrap,pantrap,T2
20020283,53,all day,pan traps,blue,pantrap,pantrap,T1
20020284,53,all day,pan traps,blue,pantrap,pantrap,T2
20020285,53,all day,pan traps,white,pantrap,pantrap,T1
20020286,53,all day,pan traps,white,pantrap,pantrap,T2
